test,7.10.2,8.11.4,9.0.1,9.1.2,9.2.2,9.3.2,9.4.1,9.5.2,9.6.2,9.7.4,9.8.4,9.9.3,9.10.0,9.11.2,10.0.1,10.1.3,10.2.1,
fillseq.wal_disabled.v400,1.00,0.97,0.96,0.96,0.99,0.98,0.99,0.99,0.98,0.98,0.94,0.96,0.96,0.96,0.96,0.99,0.91
revrangewhilewriting.t16,1.00,0.94,0.93,0.95,0.94,0.95,0.91,0.96,0.96,0.93,0.93,0.94,0.92,0.94,0.93,0.93,0.93
fwdrangewhilewriting.t16,1.00,0.95,0.94,0.96,0.95,0.97,0.97,0.97,0.96,0.96,0.94,0.95,0.96,0.94,0.94,0.94,0.94
readwhilewriting.t16,1.00,0.97,0.98,0.97,0.96,0.96,0.95,0.97,0.99,0.97,0.96,0.96,0.97,0.96,0.97,0.96,0.96
overwriteandwait.t16.s0,1.00,1.03,1.02,1.03,1.02,1.02,1.02,1.03,1.05,1.03,1.02,1.01,1.04,1.04,1.03,1.03,1.03
