sb.prepare.met.point-query.warm.range100.pk1
--- absolute
cpu/o		r/o	rKB/o	wKB/o	o/s	dbms
0.009429	0	0	0.001	1325	x.pg9124_def.x9a2_bee.pk1
0.008434	0	0	0.003	1480	x.pg9224_def.x9a2_bee.pk1
0.008292	0	0	0.004	1494	x.pg9325_def.x9a2_bee.pk1
0.008083	0	0	0.001	1537	x.pg9426_def.x9a2_bee.pk1
0.008245	0	0	0.004	1506	x.pg9525_def.x9a2_bee.pk1
0.008466	0	0	0.004	1467	x.pg9624_def.x9a2_bee.pk1
0.008515	0	0	0.001	1462	x.pg1023_def.x9a2_bee.pk1
0.008050	0	0	0.001	1550	x.pg1122_def.x9a2_bee.pk1
0.008197	0	0	0.001	1517	x.pg1217_def.x9a2_bee.pk1
0.008272	0	0	0.004	1505	x.pg1313_def.x9a2_bee.pk1
0.008132	0	0	0.001	1528	x.pg1411_def.x9a2_bee.pk1
0.008104	0	0	0	1530	x.pg156_def.x9a2_bee.pk1
0.008116	0	0	0	1530	x.pg162_def.x9a2_bee.pk1
--- relative to first result
1.00		1	1	1.00	1.00	x.pg9124_def.x9a2_bee.pk1
0.90		1	1	3.00	1.11	x.pg9224_def.x9a2_bee.pk1
0.88		1	1	4.00	1.12	x.pg9325_def.x9a2_bee.pk1
0.86		1	1	1.00	1.15	x.pg9426_def.x9a2_bee.pk1
0.88		1	1	4.00	1.13	x.pg9525_def.x9a2_bee.pk1
0.90		1	1	4.00	1.10	x.pg9624_def.x9a2_bee.pk1
0.91		1	1	1.00	1.10	x.pg1023_def.x9a2_bee.pk1
0.86		1	1	1.00	1.16	x.pg1122_def.x9a2_bee.pk1
0.87		1	1	1.00	1.14	x.pg1217_def.x9a2_bee.pk1
0.88		1	1	4.00	1.13	x.pg1313_def.x9a2_bee.pk1
0.87		1	1	1.00	1.15	x.pg1411_def.x9a2_bee.pk1
0.86		1	1	0.00	1.15	x.pg156_def.x9a2_bee.pk1
0.86		1	1	0.00	1.15	x.pg162_def.x9a2_bee.pk1

sb.met.random-points.pre.range1000.pk1.dop1
--- absolute
cpu/o		r/o	rKB/o	wKB/o	o/s	dbms
0.085436	0	0	0.007	147	x.pg9023_def.x9a2_bee.pk1
0.084550	0	0	0.009	149	x.pg9124_def.x9a2_bee.pk1
0.080567	0	0	0.034	164	x.pg9224_def.x9a2_bee.pk1
0.075987	0	0	0.036	167	x.pg9325_def.x9a2_bee.pk1
0.074763	0	0	0.019	170	x.pg9426_def.x9a2_bee.pk1
0.077774	0	0	0.041	164	x.pg9525_def.x9a2_bee.pk1
0.081042	0	0	0.036	160	x.pg9624_def.x9a2_bee.pk1
0.079720	0	0	0.01	159	x.pg1023_def.x9a2_bee.pk1
0.076095	0	0	0.008	168	x.pg1122_def.x9a2_bee.pk1
0.077696	0	0	0.01	165	x.pg1217_def.x9a2_bee.pk1
0.077582	0	0	0.035	164	x.pg1313_def.x9a2_bee.pk1
0.077394	0	0	0.009	165	x.pg1411_def.x9a2_bee.pk1
0.076976	0	0	0	165	x.pg156_def.x9a2_bee.pk1
0.076697	0	0	0	166	x.pg162_def.x9a2_bee.pk1
--- relative to first result
0.99		1	1	1.29	1.01	x.pg9124_def.x9a2_bee.pk1
0.94		1	1	4.86	1.12	x.pg9224_def.x9a2_bee.pk1
0.89		1	1	5.14	1.14	x.pg9325_def.x9a2_bee.pk1
0.88		1	1	2.71	1.16	x.pg9426_def.x9a2_bee.pk1
0.91		1	1	5.86	1.12	x.pg9525_def.x9a2_bee.pk1
0.95		1	1	5.14	1.09	x.pg9624_def.x9a2_bee.pk1
0.93		1	1	1.43	1.08	x.pg1023_def.x9a2_bee.pk1
0.89		1	1	1.14	1.14	x.pg1122_def.x9a2_bee.pk1
0.91		1	1	1.43	1.12	x.pg1217_def.x9a2_bee.pk1
0.91		1	1	5.00	1.12	x.pg1313_def.x9a2_bee.pk1
0.91		1	1	1.29	1.12	x.pg1411_def.x9a2_bee.pk1
0.90		1	1	0.00	1.12	x.pg156_def.x9a2_bee.pk1
0.90		1	1	0.00	1.13	x.pg162_def.x9a2_bee.pk1

sb.met.read-only.pre.range10.pk1.dop1
--- absolute
cpu/o		r/o	rKB/o	wKB/o	o/s	dbms
0.000614	0	0	0	20910	x.pg9023_def.x9a2_bee.pk1
0.000583	0	0	0	21904	x.pg9124_def.x9a2_bee.pk1
0.000773	0	0	0	16608	x.pg9224_def.x9a2_bee.pk1
0.000762	0	0	0	16478	x.pg9325_def.x9a2_bee.pk1
0.000760	0	0	0	16646	x.pg9426_def.x9a2_bee.pk1
0.000745	0	0	0	17142	x.pg9525_def.x9a2_bee.pk1
0.000775	0	0	0	16373	x.pg9624_def.x9a2_bee.pk1
0.000784	0	0	0	16193	x.pg1023_def.x9a2_bee.pk1
0.000737	0	0	0	17131	x.pg1122_def.x9a2_bee.pk1
0.000761	0	0	0	16632	x.pg1217_def.x9a2_bee.pk1
0.000754	0	0	0	16877	x.pg1313_def.x9a2_bee.pk1
0.000763	0	0	0	16579	x.pg1411_def.x9a2_bee.pk1
0.000756	0	0	0	16693	x.pg156_def.x9a2_bee.pk1
0.000751	0	0	0	16827	x.pg162_def.x9a2_bee.pk1
--- relative to first result
0.95		1	1	1	1.05	x.pg9124_def.x9a2_bee.pk1
1.26		1	1	1	0.79	x.pg9224_def.x9a2_bee.pk1
1.24		1	1	1	0.79	x.pg9325_def.x9a2_bee.pk1
1.24		1	1	1	0.80	x.pg9426_def.x9a2_bee.pk1
1.21		1	1	1	0.82	x.pg9525_def.x9a2_bee.pk1
1.26		1	1	1	0.78	x.pg9624_def.x9a2_bee.pk1
1.28		1	1	1	0.77	x.pg1023_def.x9a2_bee.pk1
1.20		1	1	1	0.82	x.pg1122_def.x9a2_bee.pk1
1.24		1	1	1	0.80	x.pg1217_def.x9a2_bee.pk1
1.23		1	1	1	0.81	x.pg1313_def.x9a2_bee.pk1
1.24		1	1	1	0.79	x.pg1411_def.x9a2_bee.pk1
1.23		1	1	1	0.80	x.pg156_def.x9a2_bee.pk1
1.22		1	1	1	0.80	x.pg162_def.x9a2_bee.pk1

sb.met.read-only.pre.range100.pk1.dop1
--- absolute
cpu/o		r/o	rKB/o	wKB/o	o/s	dbms
0.000901	0	0	0	14109	x.pg9023_def.x9a2_bee.pk1
0.000896	0	0	0	14363	x.pg9124_def.x9a2_bee.pk1
0.001087	0	0	0	12086	x.pg9224_def.x9a2_bee.pk1
0.001048	0	0	0.001	12155	x.pg9325_def.x9a2_bee.pk1
0.001054	0	0	0	12086	x.pg9426_def.x9a2_bee.pk1
0.001114	0	0	0.001	11645	x.pg9525_def.x9a2_bee.pk1
0.001116	0	0	0.001	11603	x.pg9624_def.x9a2_bee.pk1
0.001121	0	0	0	11503	x.pg1023_def.x9a2_bee.pk1
0.001063	0	0	0	12044	x.pg1122_def.x9a2_bee.pk1
0.001076	0	0	0	11917	x.pg1217_def.x9a2_bee.pk1
0.001063	0	0	0	12013	x.pg1313_def.x9a2_bee.pk1
0.001050	0	0	0	12163	x.pg1411_def.x9a2_bee.pk1
0.001062	0	0	0	12036	x.pg156_def.x9a2_bee.pk1
0.001053	0	0	0	12019	x.pg162_def.x9a2_bee.pk1
--- relative to first result
0.99		1	1	1	1.02	x.pg9124_def.x9a2_bee.pk1
1.21		1	1	1	0.86	x.pg9224_def.x9a2_bee.pk1
1.16		1	1	inf	0.86	x.pg9325_def.x9a2_bee.pk1
1.17		1	1	1	0.86	x.pg9426_def.x9a2_bee.pk1
1.24		1	1	inf	0.83	x.pg9525_def.x9a2_bee.pk1
1.24		1	1	inf	0.82	x.pg9624_def.x9a2_bee.pk1
1.24		1	1	1	0.82	x.pg1023_def.x9a2_bee.pk1
1.18		1	1	1	0.85	x.pg1122_def.x9a2_bee.pk1
1.19		1	1	1	0.84	x.pg1217_def.x9a2_bee.pk1
1.18		1	1	1	0.85	x.pg1313_def.x9a2_bee.pk1
1.17		1	1	1	0.86	x.pg1411_def.x9a2_bee.pk1
1.18		1	1	1	0.85	x.pg156_def.x9a2_bee.pk1
1.17		1	1	1	0.85	x.pg162_def.x9a2_bee.pk1

sb.met.read-only.pre.range10000.pk1.dop1
--- absolute
cpu/o		r/o	rKB/o	wKB/o	o/s	dbms
0.074212	0	0	0.018	179	x.pg9023_def.x9a2_bee.pk1
