9.8.4	9.9.3	9.10.0	9.11.2	10.0.1	10.1.3	10.2.3	10.3.4	10.4.2	10.5.5	10.6.2	10.7.6	10.8.3	10.9.1	10.10.0	test
1.00	1.03	1.01	1.02	1.03	1.01	1.01	1.02	1.03	1.01	0.86	1.08	1.07	1.07	1.07	fillseq.wal_disabled.v400
1.00	1.00	1.00	0.99	0.99	0.99	1.00	0.99	0.99	0.99	1.00	0.99	1.00	0.99	0.99	revrangewhilewriting.t36
1.00	0.99	0.99	1.00	1.00	1.00	0.98	0.97	0.99	0.99	0.99	0.99	0.98	0.99	0.99	fwdrangewhilewriting.t36
1.00	1.00	1.01	1.01	1.01	1.01	1.01	1.00	1.01	1.01	1.01	1.01	1.01	1.01	1.00	readwhilewriting.t36
1.00	1.59	1.60	1.59	1.59	1.58	1.57	1.62	1.61	1.62	1.19	1.68	1.69	1.68	1.68	overwriteandwait.t36.s0
