Relative to: x.my5621_rel.z10a_bee.pk1
col-1 : x.my5631_rel.z10a_bee.pk1
col-2 : x.my5641_rel.z10a_bee.pk1
col-3 : x.my5651_rel.z10a_bee.pk1
col-4 : x.my5710_rel.z10a_bee.pk1
col-5 : x.my5720_rel.z10a_bee.pk1
col-6 : x.my5730_rel.z10a_bee.pk1
col-7 : x.my5744_rel.z10a_bee.pk1
col-8 : x.my8013_rel.z10a_bee.pk1
col-9 : x.my8014_rel.z10a_bee.pk1
col-10 : x.my8020_rel.z10a_bee.pk1
col-11 : x.my8028_rel.z10a_bee.pk1
col-12 : x.my8035_rel.z10a_bee.pk1
col-13 : x.my8036_rel.z10a_bee.pk1

col-1	col-2	col-3	col-4	col-5	col-6	col-7	col-8	col-9	col-10	col-11	col-12	col-13
0.98	0.96	0.97	1.22	1.21	1.20	1.17	1.08	1.07	1.07	1.02	0.98	0.97	read-only.pre_range=10000
0.97	0.97	0.97	0.96	0.96	0.96	0.92	0.85	0.84	0.81	0.81	0.74	0.74	read-only.pre_range=100
0.98	0.99	0.99	0.86	0.85	0.86	0.83	0.75	0.74	0.71	0.71	0.65	0.65	read-only.pre_range=10
0.97	0.96	0.96	1.22	1.22	1.20	1.16	1.08	1.07	1.07	1.02	0.98	0.97	read-only_range=10000
0.97	0.98	0.97	0.97	0.96	0.97	0.93	0.85	0.84	0.82	0.81	0.75	0.75	read-only_range=100
0.98	0.98	0.98	0.86	0.85	0.86	0.83	0.75	0.74	0.71	0.71	0.66	0.66	read-only_range=10
0.88	0.87	0.89	0.81	0.81	0.72	0.71	0.80	0.68	0.72	0.68	0.59	0.55	scan_range=100
0.99	0.98	0.99	0.76	0.72	0.72	0.72	0.60	0.59	0.56	0.53	0.49	0.48	delete_range=100
0.97	0.98	0.96	0.78	0.74	0.73	0.71	0.59	0.58	0.55	0.49	0.44	0.44	insert_range=100
0.96	0.94	1.00	0.97	0.96	0.97	0.95	0.86	0.83	0.80	0.80	0.74	0.73	read-write_range=100
0.98	0.97	0.98	0.88	0.87	0.88	0.85	0.74	0.71	0.68	0.70	0.63	0.64	read-write_range=10
1.03	0.95	0.99	1.46	1.10	1.22	1.58	1.02	1.09	1.21	1.28	1.07	1.08	update-index_range=100
1.00	1.18	1.20	0.93	1.05	1.08	1.10	0.91	0.89	0.83	0.83	0.74	0.74	update-inlist_range=100
0.99	0.98	0.99	0.81	0.78	0.78	0.79	0.64	0.63	0.59	0.57	0.52	0.52	update-nonindex_range=100
0.99	0.98	0.99	0.82	0.78	0.78	0.79	0.64	0.63	0.58	0.56	0.51	0.51	update-one_range=100
0.99	0.98	1.00	0.82	0.78	0.78	0.79	0.65	0.63	0.59	0.57	0.52	0.52	update-zipf_range=100
1.01	0.97	0.99	0.94	0.90	0.91	0.90	0.74	0.73	0.68	0.68	0.59	0.59	write-only_range=10000
