sb.prepare.met.point-query.warm.range100.pk1
--- absolute
cpu/o		r/o	rKB/o	wKB/o	o/s	dbms
0.000170	0	0.001	1.25	63157	x.my5621_rel.z10a_bee.pk1
0.000180	0	0.001	1.248	62761	x.my5631_rel.z10a_bee.pk1
0.000181	0	0.001	1.247	58939	x.my5641_rel.z10a_bee.pk1
0.000180	0	0.001	1.247	62893	x.my5651_rel.z10a_bee.pk1
0.000175	0	0	1.206	61855	x.my5710_rel.z10a_bee.pk1
0.000174	0	0	1.209	63559	x.my5720_rel.z10a_bee.pk1
0.000175	0	0	1.206	68965	x.my5730_rel.z10a_bee.pk1
0.000182	0	0	1.218	61224	x.my5744_rel.z10a_bee.pk1
0.000361	0.009	0.034	1.23	53003	x.my8013_rel.z10a_bee.pk1
0.000241	0.008	0.033	1.224	56603	x.my8014_rel.z10a_bee.pk1
0.000244	0	0	1.137	54249	x.my8020_rel.z10a_bee.pk1
0.000300	0	0.013	1.158	51282	x.my8028_rel.z10a_bee.pk1
0.000313	0	0.013	1.186	48231	x.my8035_rel.z10a_bee.pk1
0.000317	0	0.013	1.186	47468	x.my8036_rel.z10a_bee.pk1
--- relative to first result
1.06		1	1.00	1.00	0.99	x.my5631_rel.z10a_bee.pk1
1.06		1	1.00	1.00	0.93	x.my5641_rel.z10a_bee.pk1
1.06		1	1.00	1.00	1.00	x.my5651_rel.z10a_bee.pk1
1.03		1	0.00	0.96	0.98	x.my5710_rel.z10a_bee.pk1
1.02		1	0.00	0.97	1.01	x.my5720_rel.z10a_bee.pk1
1.03		1	0.00	0.96	1.09	x.my5730_rel.z10a_bee.pk1
1.07		1	0.00	0.97	0.97	x.my5744_rel.z10a_bee.pk1
2.12		inf	34.00	0.98	0.84	x.my8013_rel.z10a_bee.pk1
1.42		inf	33.00	0.98	0.90	x.my8014_rel.z10a_bee.pk1
1.44		1	0.00	0.91	0.86	x.my8020_rel.z10a_bee.pk1
1.76		1	13.00	0.93	0.81	x.my8028_rel.z10a_bee.pk1
1.84		1	13.00	0.95	0.76	x.my8035_rel.z10a_bee.pk1
1.86		1	13.00	0.95	0.75	x.my8036_rel.z10a_bee.pk1

sb.met.point-query.pre.range100.pk1.dop1
--- absolute
cpu/o		r/o	rKB/o	wKB/o	o/s	dbms
0.000581	0	0	0.002	22192	x.my5621_rel.z10a_bee.pk1
0.000588	0	0	0.002	21985	x.my5631_rel.z10a_bee.pk1
0.000589	0	0	0.002	21884	x.my5641_rel.z10a_bee.pk1
0.000587	0	0	0.002	22031	x.my5651_rel.z10a_bee.pk1
0.000669	0	0	0	19688	x.my5710_rel.z10a_bee.pk1
0.000681	0	0	0	19298	x.my5720_rel.z10a_bee.pk1
0.000657	0	0	0	20144	x.my5730_rel.z10a_bee.pk1
0.000688	0	0	0	19146	x.my5744_rel.z10a_bee.pk1
0.000780	0	0	0	17000	x.my8013_rel.z10a_bee.pk1
0.000807	0	0	0	16538	x.my8014_rel.z10a_bee.pk1
0.000842	0	0	0	15946	x.my8020_rel.z10a_bee.pk1
0.000799	0	0	0	16571	x.my8028_rel.z10a_bee.pk1
0.000862	0	0	0	15330	x.my8035_rel.z10a_bee.pk1
0.000875	0	0	0	15094	x.my8036_rel.z10a_bee.pk1
--- relative to first result
1.01		1	1	1.00	0.99	x.my5631_rel.z10a_bee.pk1
1.01		1	1	1.00	0.99	x.my5641_rel.z10a_bee.pk1
1.01		1	1	1.00	0.99	x.my5651_rel.z10a_bee.pk1
1.15		1	1	0.00	0.89	x.my5710_rel.z10a_bee.pk1
1.17		1	1	0.00	0.87	x.my5720_rel.z10a_bee.pk1
1.13		1	1	0.00	0.91	x.my5730_rel.z10a_bee.pk1
1.18		1	1	0.00	0.86	x.my5744_rel.z10a_bee.pk1
1.34		1	1	0.00	0.77	x.my8013_rel.z10a_bee.pk1
1.39		1	1	0.00	0.75	x.my8014_rel.z10a_bee.pk1
1.45		1	1	0.00	0.72	x.my8020_rel.z10a_bee.pk1
1.38		1	1	0.00	0.75	x.my8028_rel.z10a_bee.pk1
1.48		1	1	0.00	0.69	x.my8035_rel.z10a_bee.pk1
1.51		1	1	0.00	0.68	x.my8036_rel.z10a_bee.pk1

sb.met.random-points.pre.range10.pk1.dop1
--- absolute
cpu/o		r/o	rKB/o	wKB/o	o/s	dbms
0.001287	0	0	0.005	9688	x.my5621_rel.z10a_bee.pk1
0.001327	0	0	0.006	9390	x.my5631_rel.z10a_bee.pk1
0.001326	0	0	0.005	9411	x.my5641_rel.z10a_bee.pk1
0.001331	0	0	0.005	9352	x.my5651_rel.z10a_bee.pk1
0.001614	0	0	0	7781	x.my5710_rel.z10a_bee.pk1
0.001622	0	0	0	7736	x.my5720_rel.z10a_bee.pk1
0.001613	0	0	0	7841	x.my5730_rel.z10a_bee.pk1
0.001681	0	0	0	7465	x.my5744_rel.z10a_bee.pk1
0.001987	0	0	0	6330	x.my8013_rel.z10a_bee.pk1
0.001998	0	0	0	6289	x.my8014_rel.z10a_bee.pk1
0.002130	0	0	0	5901	x.my8020_rel.z10a_bee.pk1
0.001990	0	0	0	6284	x.my8028_rel.z10a_bee.pk1
0.002138	0	0	0	5864	x.my8035_rel.z10a_bee.pk1
0.002133	0	0	0	5905	x.my8036_rel.z10a_bee.pk1
--- relative to first result
1.03		1	1	1.20	0.97	x.my5631_rel.z10a_bee.pk1
1.03		1	1	1.00	0.97	x.my5641_rel.z10a_bee.pk1
1.03		1	1	1.00	0.97	x.my5651_rel.z10a_bee.pk1
1.25		1	1	0.00	0.80	x.my5710_rel.z10a_bee.pk1
1.26		1	1	0.00	0.80	x.my5720_rel.z10a_bee.pk1
1.25		1	1	0.00	0.81	x.my5730_rel.z10a_bee.pk1
1.31		1	1	0.00	0.77	x.my5744_rel.z10a_bee.pk1
1.54		1	1	0.00	0.65	x.my8013_rel.z10a_bee.pk1
1.55		1	1	0.00	0.65	x.my8014_rel.z10a_bee.pk1
1.66		1	1	0.00	0.61	x.my8020_rel.z10a_bee.pk1
1.55		1	1	0.00	0.65	x.my8028_rel.z10a_bee.pk1
1.66		1	1	0.00	0.61	x.my8035_rel.z10a_bee.pk1
1.66		1	1	0.00	0.61	x.my8036_rel.z10a_bee.pk1

sb.met.random-points.pre.range100.pk1.dop1
--- absolute
cpu/o		r/o	rKB/o	wKB/o	o/s	dbms
0.007658	0	0	0.027	1590	x.my5621_rel.z10a_bee.pk1
0.007697	0	0	0.028	1579	x.my5631_rel.z10a_bee.pk1
0.007709	0	0	0.027	1575	x.my5641_rel.z10a_bee.pk1
0.007725	0	0	0.028	1562	x.my5651_rel.z10a_bee.pk1
0.009136	0	0	0	1333	x.my5710_rel.z10a_bee.pk1
0.008845	0	0	0	1358	x.my5720_rel.z10a_bee.pk1
0.008985	0	0	0	1352	x.my5730_rel.z10a_bee.pk1
0.009258	0	0	0	1314	x.my5744_rel.z10a_bee.pk1
0.010478	0	0	0	1166	x.my8013_rel.z10a_bee.pk1
