Relative to: x.my5651_rel_o2nofp.z11a_c32r128.pk1
col-1 : x.my5744_rel_o2nofp.z11a_c32r128.pk1
col-2 : x.my8028_rel_o2nofp.z11a_c32r128.pk1
col-3 : x.my8032_rel_o2nofp.z11a_c32r128.pk1
col-4 : x.my8039_rel_o2nofp.z11a_c32r128.pk1
col-5 : x.my8041_rel_o2nofp.z11a_c32r128.pk1

col-1	col-2	col-3	col-4	col-5
0.97	0.70	0.69	0.73	0.75	hot-points_range=100
0.93	0.84	0.78	0.77	0.77	point-query_range=100
0.94	0.73	0.71	0.76	0.77	points-covered-pk_range=100
0.89	0.73	0.70	0.77	0.77	points-covered-si_range=100
0.94	0.73	0.70	0.76	0.76	points-notcovered-pk_range=100
0.87	0.75	0.68	0.74	0.75	points-notcovered-si_range=100
1.08	0.42	0.83	0.89	0.89	random-points_range=1000
0.95	0.73	0.71	0.77	0.77	random-points_range=100
0.91	0.78	0.69	0.72	0.72	random-points_range=10
0.87	0.77	0.69	0.69	0.71	range-covered-pk_range=100
0.88	0.79	0.72	0.71	0.74	range-covered-si_range=100
0.86	0.75	0.68	0.67	0.69	range-notcovered-pk_range=100
0.84	0.76	0.64	0.70	0.71	range-notcovered-si_range=100
1.31	1.07	1.02	1.02	1.04	read-only_range=10000
1.09	0.98	0.91	0.90	0.92	read-only_range=100
1.00	0.89	0.82	0.82	0.84	read-only_range=10
0.89	0.89	0.72	0.71	0.73	scan_range=100
0.81	0.72	0.65	0.65	0.66	delete_range=100
0.78	0.66	0.59	0.59	0.59	insert_range=100
1.06	0.94	0.87	0.87	0.87	read-write_range=100
0.97	0.85	0.78	0.78	0.79	read-write_range=10
1.87	1.91	1.61	1.59	1.59	update-index_range=100
0.98	0.88	0.79	0.81	0.82	update-inlist_range=100
0.99	0.85	0.78	0.78	0.79	update-nonindex_range=100
0.94	0.82	0.76	0.75	0.76	update-one_range=100
0.95	0.82	0.76	0.75	0.76	update-zipf_range=100
1.05	0.90	0.82	0.82	0.81	write-only_range=10000
