Relative to: x.my8044_rel_o2nofp.z12a_c8r32.pk1
col-1 : x.my8044_rel_o2nofp.z12a_gtid_c8r32.pk1
col-2 : x.my8407_rel_o2nofp.z12a_c8r32.pk1
col-3 : x.my8407_rel_o2nofp.z12a_gtid_c8r32.pk1
col-4 : x.my9400_rel_o2nofp.z12a_c8r32.pk1
col-5 : x.my9400_rel_o2nofp.z12a_gtid_c8r32.pk1
col-6 : x.my9500_rel_o2nofp.z13a_c8r32.pk1
col-7 : x.my9500_rel_o2nofp.z13a_gtid_c8r32.pk1

col-1	col-2	col-3	col-4	col-5	col-6	col-7
0.99	0.98	0.98	0.98	0.97	0.99	0.99	hot-points_range=100
0.99	0.98	0.99	0.97	0.96	0.95	0.95	point-query_range=100
1.00	0.99	0.99	0.98	0.97	0.99	0.98	points-covered-pk_range=100
1.00	0.99	0.98	0.98	0.99	0.99	0.99	points-covered-si_range=100
0.99	0.99	0.98	0.97	0.97	0.98	0.98	points-notcovered-pk_range=100
1.00	1.00	0.99	0.98	0.99	1.00	1.00	points-notcovered-si_range=100
1.00	0.98	1.00	0.99	0.99	0.99	1.00	random-points_range=1000
0.99	0.98	0.98	0.98	0.97	0.99	0.98	random-points_range=100
0.99	0.98	0.98	0.97	0.97	0.98	0.96	random-points_range=10
0.99	0.97	0.97	0.97	0.97	0.95	0.94	range-covered-pk_range=100
0.99	0.96	0.98	0.98	0.96	0.96	0.94	range-covered-si_range=100
0.99	0.97	0.97	0.98	0.97	0.96	0.96	range-notcovered-pk_range=100
1.00	1.00	0.99	0.99	0.99	1.00	0.99	range-notcovered-si_range=100
0.99	0.97	0.98	0.97	0.97	0.98	0.97	read-only-count_range=1000
1.00	0.98	0.99	0.98	0.99	0.98	0.98	read-only-distinct_range=1000
0.99	0.97	0.97	0.98	0.99	0.97	0.95	read-only-order_range=1000
1.00	1.00	1.00	1.01	1.01	1.01	1.01	read-only_range=10000
0.99	0.99	0.99	0.98	0.98	0.97	0.96	read-only_range=100
0.99	0.98	0.99	0.97	0.97	0.97	0.95	read-only_range=10
0.99	0.98	0.99	0.98	0.99	0.98	0.97	read-only-simple_range=1000
0.99	0.97	0.99	0.96	0.97	0.95	0.94	read-only-sum_range=1000
1.00	0.99	0.99	1.00	0.99	0.99	0.98	scan_range=100
1.00	0.99	0.96	1.00	0.98	0.99	0.98	scan.warm_range=100
0.99	0.98	0.97	0.96	0.96	0.96	0.95	delete_range=100
0.95	0.98	0.93	1.00	0.96	1.00	0.95	insert_range=100
1.00	0.98	0.99	0.97	0.98	0.97	0.97	read-write_range=100
1.01	0.99	1.00	0.97	0.98	0.98	0.97	read-write_range=10
1.06	0.97	1.04	0.97	1.04	0.97	1.04	update-index_range=100
1.01	0.99	0.99	0.98	0.99	0.99	0.98	update-inlist_range=100
0.98	0.98	0.97	0.97	0.96	0.96	0.96	update-nonindex_range=100
0.99	0.98	0.97	0.97	0.96	0.97	0.96	update-one_range=100
0.99	0.99	0.97	0.97	0.96	0.97	0.96	update-zipf_range=100
1.01	0.99	0.99	0.99	1.00	0.99	0.99	write-only_range=10000
