49500,737.2,0.0,1,fsync=0_16K
49300,734.3,0.0,1,fsync=0_16K
44500,662.8,1.6,1,fsync=1_16K
45400,676.2,1.5,1,fsync=1_16K
49400,737.2,0.0,1,fdatasync=0_16K
49500,737.2,0.0,1,fdatasync=0_16K
46700,696.2,0.7,1,fdatasync=1_16K
45200,674.2,0.7,1,fdatasync=1_16K
707,1350.4,0.0,1,fsync=0_2M
708,1350.4,0.0,1,fsync=0_2M
703,1342.8,139.1,1,fsync=1_2M
703,1342.8,122.5,1,fsync=1_2M
707,1350.4,0.0,1,fdatasync=0_2M
707,1350.4,0.0,1,fdatasync=0_2M
707,1350.4,2.2,1,fdatasync=1_2M
707,1350.4,2.1,1,fdatasync=1_2M
