col-1 : x.pg1023_o2nofp.x10a_c32r128.pk1
col-2 : x.pg110_o2nofp.x10a_c32r128.pk1
col-3 : x.pg1110_o2nofp.x10a_c32r128.pk1

col-1	col-2	col-3
5277	5817	5889	hot-points_range=100
28928	30265	30340	point-query_range=100
2675	2779	2823	points-covered-pk_range=100
2664	2748	2810	points-covered-si_range=100
2050	2115	2143	points-notcovered-pk_range=100
2019	2067	2109	points-notcovered-si_range=100
238	245	248	random-points_range=1000
2089	2159	2161	random-points_range=100
13107	13618	13703	random-points_range=10
12650	14081	14092	range-covered-pk_range=100
11281	12872	12910	range-covered-si_range=100
7776	8357	8466	range-notcovered-pk_range=100
4392	4589	4602	range-notcovered-si_range=100
3502	3580	3610	read-only_range=1000
16005	16729	16746	read-only_range=100
23432	24722	24764	read-only_range=10
146	179	178	read-only_range=16000
1762	1798	1797	read-only_range=2000
80	90	90	read-only_range=32000
857	874	870	read-only_range=4000
414	420	419	read-only_range=8000
2500	2600	2500	scan_range=100
24300	24990	25140	delete_range=100
16083	17171	17052	insert_range=100
16272	16858	16923	read-write_range=100
22088	23055	23083	read-write_range=10
17832	18190	18215	update-index_range=100
6921	7087	7058	update-inlist_range=100
18793	19507	19355	update-nonindex_range=100
23401	24350	24103	update-one_range=100
18547	19115	19119	update-zipf_range=100
23757	24383	24532	write-only_range=10000
