col-1 : x.pg1023_o2nofp.x10a_wm4_c32r128.pk1
col-2 : x.pg1122_o2nofp.x10a_wm4_c32r128.pk1
col-3 : x.pg174_o2nofp.x10a_wm4_c32r128.pk1

col-1	col-2	col-3
113076	113079	289151	hot-points_range=100
949619	975159	1022644	point-query_range=100
85123	87291	91035	points-covered-pk_range=100
85302	87456	89095	points-covered-si_range=100
68757	70826	72559	points-notcovered-pk_range=100
67989	69541	70392	points-notcovered-si_range=100
7641	7839	7974	random-points_range=1000
69548	71237	73131	random-points_range=100
444179	460164	474471	random-points_range=10
380180	398907	426573	range-covered-pk_range=100
366420	389071	417778	range-covered-si_range=100
198512	204365	203832	range-notcovered-pk_range=100
156175	162096	162912	range-notcovered-si_range=100
22391	21879	21616	read-only-distinct_range=8000
22816	22334	22492	read-only-order_range=8000
87172	87759	87642	read-only_range=1000
480552	489538	495677	read-only_range=100
817912	837710	867804	read-only_range=10
3795	4275	4714	read-only_range=16000
43321	43486	44352	read-only_range=2000
2079	2196	2309	read-only_range=32000
20729	20745	20715	read-only_range=4000
9881	9503	9328	read-only_range=8000
41361	38994	37381	read-only-simple_range=8000
70471	62806	57573	read-only-sum_range=8000
98300	97800	112000	scan_range=100
343201	520818	885284	delete_range=100
312010	325264	362626	insert_range=100
479525	490148	513857	read-write_range=100
678772	705362	755732	read-write_range=10
135838	173705	353072	update-index_range=100
81427	110906	119986	update-inlist_range=100
114093	213919	439859	update-nonindex_range=100
47852	57710	92892	update-one_range=100
149694	255101	446725	update-zipf_range=100
425295	463163	599545	write-only_range=10000
