col-1 : x.pg1023_o2nofp.x10a_wm2_c32r128.pk1
col-2 : x.pg1122_o2nofp.x10a_wm2_c32r128.pk1
col-3 : x.pg174_o2nofp.x10a_wm2_c32r128.pk1

col-1	col-2	col-3
109484	113136	289537	hot-points_range=100
955792	976106	1043209	point-query_range=100
84558	86711	91653	points-covered-pk_range=100
85515	86442	92101	points-covered-si_range=100
68452	70628	72254	points-notcovered-pk_range=100
67964	69536	71482	points-notcovered-si_range=100
7617	7854	7992	random-points_range=1000
69546	71440	72996	random-points_range=100
448150	464722	476923	random-points_range=10
383600	398303	428755	range-covered-pk_range=100
367868	388311	415123	range-covered-si_range=100
201726	203327	203031	range-notcovered-pk_range=100
156940	162180	161677	range-notcovered-si_range=100
22460	21848	21576	read-only-distinct_range=8000
22944	22050	22417	read-only-order_range=8000
87668	87348	87164	read-only_range=1000
483993	489442	492819	read-only_range=100
821465	835016	868379	read-only_range=10
4703	4637	4710	read-only_range=16000
43594	43223	43971	read-only_range=2000
2235	2197	2288	read-only_range=32000
20956	20623	20046	read-only_range=4000
9943	9396	9279	read-only_range=8000
41729	38593	37199	read-only-simple_range=8000
71446	61497	57319	read-only-sum_range=8000
97700	97600	112100	scan_range=100
333203	525350	909073	delete_range=100
312801	327729	364160	insert_range=100
483418	492326	524322	read-write_range=100
688934	702391	742830	read-write_range=10
132199	174635	363371	update-index_range=100
81519	111296	119921	update-inlist_range=100
111892	212913	441608	update-nonindex_range=100
32578	56363	95665	update-one_range=100
145993	245839	454120	update-zipf_range=100
376980	459107	603341	write-only_range=10000
