col-1 : x.pg1023_o2nofp.x10a_wm32_c32r128.pk1
col-2 : x.pg1122_o2nofp.x10a_wm32_c32r128.pk1
col-3 : x.pg174_o2nofp.x10a_wm32_c32r128.pk1

col-1	col-2	col-3
111235	112268	287763	hot-points_range=100
968279	975262	1021163	point-query_range=100
86315	87115	91551	points-covered-pk_range=100
83947	85783	92585	points-covered-si_range=100
69268	71292	72377	points-notcovered-pk_range=100
67371	69617	72028	points-notcovered-si_range=100
7719	7893	7987	random-points_range=1000
70258	71951	72988	random-points_range=100
446137	461784	474662	random-points_range=10
385175	400052	433537	range-covered-pk_range=100
370290	388089	422240	range-covered-si_range=100
201723	204351	202891	range-notcovered-pk_range=100
157474	161223	161878	range-notcovered-si_range=100
22343	21674	21545	read-only-distinct_range=8000
22757	22019	22552	read-only-order_range=8000
87518	87475	87234	read-only_range=1000
481637	488492	497823	read-only_range=100
819000	838234	868798	read-only_range=10
4693	4631	4728	read-only_range=16000
43516	43295	44243	read-only_range=2000
2221	2205	2311	read-only_range=32000
20766	20693	20148	read-only_range=4000
9845	9366	9288	read-only_range=8000
41070	38645	37164	read-only-simple_range=8000
69028	61357	57158	read-only-sum_range=8000
97600	97900	112500	scan_range=100
336485	529012	883312	delete_range=100
308843	328538	359760	insert_range=100
479803	489674	513749	read-write_range=100
675611	699555	737736	read-write_range=10
134701	175036	348220	update-index_range=100
81220	111389	119604	update-inlist_range=100
114791	199905	435625	update-nonindex_range=100
44496	56543	89895	update-one_range=100
148702	252505	443287	update-zipf_range=100
414584	464925	609707	write-only_range=10000
