31878,475.1,0.0,1,fsync=0_16K
31904,475.4,0.0,1,fsync=0_16K
13056,195.3,649.6,16,fsync=1_16K
12995,193.8,657.1,16,fsync=1_16K
31771,473.6,0.0,1,fdatasync=0_16K
31840,474.5,0.0,1,fdatasync=0_16K
28658,426.9,61.9,16,fdatasync=1_16K
28489,425.0,64.1,16,fdatasync=1_16K
400,762.9,0.0,1,fsync=0_2M
400,762.9,0.0,1,fsync=0_2M
391,763.0,14157.4,16,fsync=1_2M
395,762.9,13887.6,16,fsync=1_2M
396,762.9,0.0,1,fdatasync=0_2M
399,762.9,0.0,1,fdatasync=0_2M
400,762.9,68.8,16,fdatasync=1_2M
400,762.9,1286.5,16,fdatasync=1_2M
