23948,356.9,0.0,1,fsync=0_16K
25373,378.1,0.0,1,fsync=0_16K
19628,292.6,65.3,4,fsync=1_16K
19585,291.8,65.8,4,fsync=1_16K
24984,372.3,0.0,1,fdatasync=0_16K
25774,384.3,0.0,1,fdatasync=0_16K
21298,317.5,46.5,4,fdatasync=1_16K
21540,320.9,45.8,4,fdatasync=1_16K
388,743.9,0.0,1,fsync=0_2M
388,743.9,0.0,1,fsync=0_2M
387,745.8,6641.5,4,fsync=1_2M
388,744.8,6618.1,4,fsync=1_2M
388,743.9,0.0,1,fdatasync=0_2M
388,743.9,0.0,1,fdatasync=0_2M
388,745.8,5048.8,4,fdatasync=1_2M
388,744.8,26039.8,4,fdatasync=1_2M
