6.29.5	7.10.2	8.11.4	9.0.1	9.1.2	9.2.2	9.3.2	9.4.1	9.5.2	9.6.2	9.7.4	9.8.4	9.9.3	9.10.0	9.11.2	10.0.1	10.1.3	10.2.1	test
1.00	1.54	1.52	1.53	1.56	1.53	1.55	1.56	1.55	1.55	1.55	1.54	1.49	1.53	1.51	1.50	1.53	1.50	fillseq.wal_disabled.v400
1.00	0.97	0.96	0.96	0.96	0.95	0.96	0.96	0.96	0.96	0.96	0.95	0.96	0.96	0.96	0.95	0.95	0.96	revrangewhilewriting.t16
1.00	0.97	0.96	0.96	0.96	0.96	0.96	0.96	0.96	0.96	0.96	0.96	0.95	0.96	0.96	0.96	0.96	0.95	fwdrangewhilewriting.t16
1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	readwhilewriting.t16
1.00	1.21	1.23	1.24	1.27	1.25	1.25	1.25	1.26	1.26	1.26	1.25	1.25	1.26	1.22	1.24	1.23	1.24	overwriteandwait.t16.s0
