Relative to: x.my5651_rel_o2nofp.z11a_c32r128.pk1
col-1 : x.my5744_rel_o2nofp.z11a_c32r128.pk1
col-2 : x.my8028_rel_o2nofp.z11a_c32r128.pk1
col-3 : x.my8032_rel_o2nofp.z11a_c32r128.pk1
col-4 : x.my8039_rel_o2nofp.z11a_c32r128.pk1
col-5 : x.my8041_rel_o2nofp.z11a_c32r128.pk1

col-1	col-2	col-3	col-4	col-5
3.30	2.45	2.37	2.48	2.51	hot-points_range=100
2.19	1.95	1.80	1.80	1.86	point-query_range=100
3.00	2.34	2.25	2.38	2.39	points-covered-pk_range=100
0.88	0.74	0.67	0.72	0.73	points-covered-si_range=100
2.91	2.27	2.18	2.30	2.32	points-notcovered-pk_range=100
0.87	0.76	0.67	0.73	0.73	points-notcovered-si_range=100
3.06	1.47	2.35	2.46	2.49	random-points_range=1000
2.93	2.28	2.19	2.32	2.34	random-points_range=100
1.84	1.55	1.40	1.44	1.48	random-points_range=10
0.92	0.81	0.73	0.72	0.77	range-covered-pk_range=100
0.93	0.84	0.77	0.74	0.82	range-covered-si_range=100
0.90	0.78	0.70	0.70	0.74	range-notcovered-pk_range=100
0.86	0.76	0.66	0.71	0.71	range-notcovered-si_range=100
0.98	1.39	1.36	1.34	1.39	read-only_range=10000
1.36	1.20	1.13	1.13	1.15	read-only_range=100
1.44	1.27	1.19	1.19	1.22	read-only_range=10
0.83	0.91	0.76	0.71	0.72	scan_range=100
1.81	2.76	2.46	2.53	2.58	delete_range=100
1.73	1.77	1.66	1.66	1.67	insert_range=100
1.37	1.07	1.02	1.01	1.03	read-write_range=100
1.84	1.42	1.36	1.35	1.37	read-write_range=10
4.87	4.87	4.10	3.99	4.81	update-index_range=100
2.17	2.61	2.70	2.80	2.80	update-inlist_range=100
1.48	1.63	1.57	1.56	1.57	update-nonindex_range=100
1.21	1.32	1.23	1.24	1.26	update-one_range=100
1.55	1.70	1.65	1.63	1.64	update-zipf_range=100
1.78	1.88	1.74	1.75	1.77	write-only_range=10000
