6.29.5	7.10.2	8.11.4	9.0.1	9.1.2	9.2.2	9.3.2	9.4.1	9.5.2	9.6.2	9.7.4	9.8.4	9.9.3	9.10.0	9.11.2	10.0.1	10.1.3	10.2.1	test
1.00	1.65	1.62	1.63	1.61	1.62	1.61	1.61	1.58	1.56	1.59	1.56	1.59	1.63	1.61	1.59	1.56	1.58	fillseq.wal_disabled.v400
1.00	1.00	1.00	1.00	0.99	0.99	0.99	0.99	0.99	1.00	0.99	0.99	1.00	0.99	0.99	0.99	0.99	0.99	revrangewhilewriting.t24
1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	fwdrangewhilewriting.t24
1.00	1.02	1.02	1.02	1.02	1.02	1.02	1.02	1.02	1.02	1.02	1.01	1.02	1.02	1.02	1.02	1.01	1.02	readwhilewriting.t24
1.00	1.13	1.14	1.14	1.14	1.14	1.12	1.14	1.14	1.13	1.13	1.14	1.14	1.14	1.14	1.14	1.14	1.13	overwriteandwait.t24.s0
