cost	wa-I	wa-C	sa	ca	Nruns	Nlvls	ph	pm	rs	rn	isdom	F	L	C
135.8	9.9	36.9	1.39	0.009	22	5	201.7	200.0	520.0	11.5	False	TLN	T1LN4L5X1	t:1:8-l:11.312:4-l:11.312:4-l:11.312:4-l:11.312:1
141.5	9.6	37.6	1.39	0.009	25	5	210.7	209.0	577.0	11.9	False	TLN	T1LN4L5X1	t:1:11-l:11.312:4-l:11.312:4-l:11.312:4-l:11.312:1
144.4	9.4	34.4	1.38	0.009	26	5	217.7	216.0	600.0	12.3	False	TLN	T2LN4L5X0	t:1:11-t:11:5-l:11.420:4-l:11.420:4-l:11.420:1
153.6	9.9	38.9	1.25	0.007	32	4	230.1	232.0	712.0	11.8	False	TLN	T1LN3L4X0	t:1:18-l:25.398:6-l:25.398:6-l:25.398:1
156.6	8.7	33.7	1.39	0.009	29	5	238.6	237.0	669.0	12.9	False	TLN	T2LN4L5X0	t:1:11-t:11:8-l:11.420:4-l:11.420:4-l:11.420:1
---
76.1	33.7	52.7	1.1	0.005	7	5	91.7	90.0	170.0	3.5	False	TL	T1L5	t:1:2-l:11.314:1-l:11.314:1-l:11.314:1-l:11.314:1
