cost	wa-I	wa-C	sa	ca	Nruns	Nlvls	ph	pm	rs	rn	isdom	F	L	C
128.0	62.0	80.0	1.04	0.004	4	3	73.7	73.0	105.0	2.3	False	L	L3	l:25.398:1-l:25.398:1-l:25.398:1
157.0	37.2	55.2	1.1	0.005	5	4	85.7	84.0	132.0	2.5	False	L	L4	l:11.314:1-l:11.314:1-l:11.314:1-l:11.314:1
162.0	49.4	68.4	1.05	0.004	5	3	81.9	81.0	129.0	3.3	False	LN	LNA1L3	l:20.159:2-l:40.318:1-l:20.159:1
162.0	51.8	70.8	1.04	0.004	5	3	81.8	81.0	129.0	3.3	False	LN	LNC1L3	l:25.398:2-l:25.398:1-l:25.398:1
178.0	52.8	71.8	1.04	0.004	6	4	79.7	79.0	143.0	3.5	False	TL	T1L4	t:1:2-l:25.398:1-l:25.398:1-l:25.398:1
---
178.0	52.8	71.8	1.04	0.004	6	4	79.7	79.0	143.0	3.5	False	TL	T1L4	t:1:2-l:25.398:1-l:25.398:1-l:25.398:1
