cost	wa-I	wa-C	sa	ca	Nruns	Nlvls	ph	pm	rs	rn	isdom	F	L	C
133.0	17.0	39.0	1.29	0.007	10	5	133.1	128.0	256.0	6.5	False	LN	LNA4L5	l:4.000:2-l:8.000:2-l:8.000:2-l:8.000:2-l:8.000:1
136.3	18.0	40.0	1.32	0.008	11	6	132.8	127.0	271.0	6.5	False	TLN	T1RLN4L6X1	t:1:2-l:8.000:2-l:8.000:2-l:8.000:2-l:8.000:1-l:4.000:1
142.5	16.9	39.9	1.32	0.008	12	6	135.8	130.0	290.0	7.1	False	TLN	T1LN4L6X1	t:1:3-l:8.000:2-l:8.000:2-l:8.000:2-l:8.000:1-l:4.000:1
146.9	18.0	40.0	1.24	0.007	13	6	135.3	131.0	307.0	7.7	False	TLN	T2RLN4L6X1	t:1:3-t:3:3-l:10.224:2-l:10.224:2-l:10.224:1-l:5.112:1
150.2	15.9	38.9	1.34	0.008	12	6	148.0	142.0	302.0	7.5	False	TLN	T1RLN5L6X0	t:1:2-l:6.964:2-l:6.964:2-l:6.964:2-l:6.964:2-l:6.964:1
---
96.2	52.8	71.8	1.04	0.004	6	4	79.7	79.0	143.0	3.5	False	TL	T1L4	t:1:2-l:25.398:1-l:25.398:1-l:25.398:1
