wa-I	wa-C	sa	ca	Nruns	Nlvls	ph	pm	rs	rn	F	L	C
21.8	45.8	1.12	0.005	12	3	147.0	147.0	307.0	6.9	LN	LNA2L3	l:8.686:5-l:43.430:5-l:43.430:1
19.5	43.5	1.13	0.005	14	3	159.2	160.0	352.0	7.5	LN	LNA2L3	l:7.692:6-l:46.152:6-l:46.152:1
17.7	41.7	1.15	0.005	16	3	176.3	178.0	402.0	7.9	LN	LNA2L3	l:6.941:7-l:48.587:7-l:48.587:1
16.2	40.2	1.16	0.006	18	3	193.2	196.0	452.0	8.3	LN	LNA2L3	l:6.350:8-l:50.800:8-l:50.800:1
32.7	51.7	1.10	0.005	6	4	92.8	91.0	155.0	3.5	LN	LNC1L4	l:11.314:2-l:11.314:1-l:11.314:1-l:11.314:1
31.2	51.2	1.10	0.005	7	4	99.8	98.0	178.0	4.0	LN	LNC1L4	l:11.314:3-l:11.314:1-l:11.314:1-l:11.314:1
30.4	50.4	1.10	0.005	8	4	106.8	105.0	201.0	4.5	LN	LNC1L4	l:11.314:4-l:11.314:1-l:11.314:1-l:11.314:1
28.2	48.2	1.11	0.005	7	4	103.9	102.0	182.0	4.5	LN	LNC2L4	l:11.314:2-l:11.314:2-l:11.314:1-l:11.314:1
25.1	47.1	1.11	0.005	9	4	121.9	120.0	232.0	5.6	LN	LNC2L4	l:11.314:3-l:11.314:3-l:11.314:1-l:11.314:1
23.6	45.6	1.12	0.005	11	4	139.8	138.0	282.0	6.5	LN	LNC2L4	l:11.314:4-l:11.314:4-l:11.314:1-l:11.314:1
23.6	44.6	1.19	0.006	8	4	119.5	116.0	212.0	5.5	LN	LNC3L4	l:11.314:2-l:11.314:2-l:11.314:2-l:11.314:1
19.1	43.1	1.29	0.007	11	4	151.2	148.0	292.0	7.2	LN	LNC3L4	l:11.314:3-l:11.314:3-l:11.314:3-l:11.314:1
16.8	40.8	1.39	0.009	14	4	181.7	180.0	372.0	8.4	LN	LNC3L4	l:11.314:4-l:11.314:4-l:11.314:4-l:11.314:1
31.4	50.4	1.12	0.005	6	4	93.1	91.0	155.0	3.5	LN	LNA1L4	l:9.514:2-l:19.028:1-l:9.514:1-l:9.514:1
28.5	48.5	1.13	0.005	7	4	100.4	98.0	178.0	4.0	LN	LNA1L4	l:8.597:3-l:25.791:1-l:8.597:1-l:8.597:1
26.6	46.6	1.14	0.005	8	4	103.6	101.0	197.0	4.5	LN	LNA1L4	l:8.000:4-l:32.000:1-l:8.000:1-l:8.000:1
