wa-I	wa-C	sa	ca	Nruns	Nlvls	ph	pm	rs	rn	F	L	C
67.8	89.8	1.05	0.004	11	3	134.5	135.0	279.0	6.1	TLN	T1LN2L3X1	t:1:2-l:128.002:7-l:128.002:1
42.2	65.2	1.05	0.004	13	3	140.5	141.0	317.0	7.1	TLN	T1LN2L3X1	t:1:4-l:128.002:7-l:128.002:1
33.7	57.7	1.06	0.004	15	3	146.5	147.0	355.0	7.7	TLN	T1LN2L3X1	t:1:6-l:128.002:7-l:128.002:1
29.4	53.4	1.06	0.004	17	3	152.5	153.0	393.0	8.1	TLN	T1LN2L3X1	t:1:8-l:128.002:7-l:128.002:1
15.6	43.6	1.07	0.004	138	3	513.9	516.0	2692.0	12.3	TLN	T1LN2L3X1	t:1:128-l:128.000:8-l:128.000:1
15.9	43.9	1.07	0.004	106	3	418.5	420.0	2084.0	11.9	TLN	T1LN2L3X1	t:1:96-l:128.000:8-l:128.000:1
16.4	43.4	1.07	0.004	74	3	323.0	324.0	1476.0	11.3	TLN	T1LN2L3X1	t:1:64-l:128.000:8-l:128.000:1
18.0	44.0	1.06	0.004	42	3	227.2	228.0	868.0	10.3	TLN	T1LN2L3X1	t:1:32-l:128.000:8-l:128.000:1
66.0	88.0	1.06	0.004	12	3	137.3	138.0	298.0	6.3	TLN	T1LN2L3X1	t:1:2-l:128.000:8-l:128.000:1
40.4	63.4	1.06	0.004	14	3	143.3	144.0	336.0	7.3	TLN	T1LN2L3X1	t:1:4-l:128.000:8-l:128.000:1
31.9	55.9	1.06	0.004	16	3	149.3	150.0	374.0	7.9	TLN	T1LN2L3X1	t:1:6-l:128.000:8-l:128.000:1
27.6	51.6	1.06	0.004	18	3	155.3	156.0	412.0	8.3	TLN	T1LN2L3X1	t:1:8-l:128.000:8-l:128.000:1
3.8	28.8	2.01	0.017	258	3	1102.7	1716.0	5812.0	16.3	TL	T2L3	t:1:128-t:128:128-l:128.000:1
4.1	29.1	1.76	0.013	226	3	1055.7	1396.0	4980.0	15.9	TL	T2L3	t:1:128-t:128:96-l:128.000:1
4.6	28.6	1.51	0.010	194	3	928.7	1076.0	4148.0	15.3	TL	T2L3	t:1:128-t:128:64-l:128.000:1
6.2	29.2	1.26	0.007	162	3	721.7	756.0	3316.0	14.3	TL	T2L3	t:1:128-t:128:32-l:128.000:1
54.2	73.2	1.02	0.004	132	3	454.9	456.0	2536.0	10.3	TL	T2L3	t:1:128-t:128:2-l:128.000:1
28.6	48.6	1.04	0.004	134	3	474.9	476.0	2588.0	11.3	TL	T2L3	t:1:128-t:128:4-l:128.000:1
20.1	41.1	1.05	0.004	136	3	494.6	496.0	2640.0	11.9	TL	T2L3	t:1:128-t:128:6-l:128.000:1
15.8	36.8	1.07	0.004	138	3	513.9	516.0	2692.0	12.3	TL	T2L3	t:1:128-t:128:8-l:128.000:1
43.4	66.4	1.04	0.004	29	4	148.7	148.0	580.0	7.1	TL	T1L4	t:1:25-l:25.398:1-l:25.398:1-l:25.398:1
43.8	66.8	1.04	0.004	22	4	127.7	127.0	447.0	6.6	TL	T1L4	t:1:18-l:25.398:1-l:25.398:1-l:25.398:1
44.3	66.3	1.04	0.004	16	4	109.7	109.0	333.0	6.0	TL	T1L4	t:1:12-l:25.398:1-l:25.398:1-l:25.398:1
46.0	67.0	1.04	0.004	10	4	91.7	91.0	219.0	5.0	TL	T1L4	t:1:6-l:25.398:1-l:25.398:1-l:25.398:1
52.8	71.8	1.04	0.004	6	4	79.7	79.0	143.0	3.5	TL	T1L4	t:1:2-l:25.398:1-l:25.398:1-l:25.398:1
47.7	67.7	1.04	0.004	8	4	85.7	85.0	181.0	4.5	TL	T1L4	t:1:4-l:25.398:1-l:25.398:1-l:25.398:1
33.3	57.3	1.04	0.004	30	4	156.7	156.0	604.0	8.1	TLN	T1LN2L4X0	t:1:25-l:25.398:2-l:25.398:1-l:25.398:1
33.6	57.6	1.04	0.004	23	4	135.8	135.0	471.0	7.6	TLN	T1LN2L4X0	t:1:18-l:25.398:2-l:25.398:1-l:25.398:1
34.2	57.2	1.04	0.004	17	4	117.8	117.0	357.0	7.0	TLN	T1LN2L4X0	t:1:12-l:25.398:2-l:25.398:1-l:25.398:1
35.9	57.9	1.04	0.004	11	4	99.8	99.0	243.0	6.0	TLN	T1LN2L4X0	t:1:6-l:25.398:2-l:25.398:1-l:25.398:1
42.6	62.6	1.04	0.004	7	4	87.8	87.0	167.0	4.5	TLN	T1LN2L4X0	t:1:2-l:25.398:2-l:25.398:1-l:25.398:1
37.6	58.6	1.04	0.004	9	4	93.8	93.0	205.0	5.5	TLN	T1LN2L4X0	t:1:4-l:25.398:2-l:25.398:1-l:25.398:1
29.9	54.9	1.05	0.004	31	4	164.7	164.0	628.0	8.7	TLN	T1LN2L4X0	t:1:25-l:25.398:3-l:25.398:1-l:25.398:1
30.2	55.2	1.05	0.004	24	4	143.8	143.0	495.0	8.2	TLN	T1LN2L4X0	t:1:18-l:25.398:3-l:25.398:1-l:25.398:1
30.8	54.8	1.04	0.004	18	4	125.8	125.0	381.0	7.6	TLN	T1LN2L4X0	t:1:12-l:25.398:3-l:25.398:1-l:25.398:1
32.5	55.5	1.04	0.004	12	4	107.8	107.0	267.0	6.6	TLN	T1LN2L4X0	t:1:6-l:25.398:3-l:25.398:1-l:25.398:1
39.3	60.3	1.04	0.004	8	4	95.8	95.0	191.0	5.0	TLN	T1LN2L4X0	t:1:2-l:25.398:3-l:25.398:1-l:25.398:1
34.2	56.2	1.04	0.004	10	4	101.8	101.0	229.0	6.0	TLN	T1LN2L4X0	t:1:4-l:25.398:3-l:25.398:1-l:25.398:1
28.2	53.2	1.05	0.004	32	4	172.7	172.0	652.0	9.1	TLN	T1LN2L4X0	t:1:25-l:25.398:4-l:25.398:1-l:25.398:1
28.5	53.5	1.05	0.004	25	4	151.8	151.0	519.0	8.6	TLN	T1LN2L4X0	t:1:18-l:25.398:4-l:25.398:1-l:25.398:1
29.1	53.1	1.05	0.004	19	4	133.8	133.0	405.0	8.0	TLN	T1LN2L4X0	t:1:12-l:25.398:4-l:25.398:1-l:25.398:1
30.8	53.8	1.05	0.004	13	4	115.8	115.0	291.0	7.0	TLN	T1LN2L4X0	t:1:6-l:25.398:4-l:25.398:1-l:25.398:1
37.6	58.6	1.05	0.004	9	4	103.8	103.0	215.0	5.5	TLN	T1LN2L4X0	t:1:2-l:25.398:4-l:25.398:1-l:25.398:1
32.5	54.5	1.05	0.004	11	4	109.8	109.0	253.0	6.5	TLN	T1LN2L4X0	t:1:4-l:25.398:4-l:25.398:1-l:25.398:1
27.2	53.2	1.05	0.004	33	4	180.7	180.0	676.0	9.4	TLN	T1LN2L4X0	t:1:25-l:25.398:5-l:25.398:1-l:25.398:1
27.5	53.5	1.05	0.004	26	4	159.7	159.0	543.0	8.9	TLN	T1LN2L4X0	t:1:18-l:25.398:5-l:25.398:1-l:25.398:1
28.1	53.1	1.05	0.004	20	4	141.8	141.0	429.0	8.4	TLN	T1LN2L4X0	t:1:12-l:25.398:5-l:25.398:1-l:25.398:1
29.8	53.8	1.05	0.004	14	4	123.8	123.0	315.0	7.4	TLN	T1LN2L4X0	t:1:6-l:25.398:5-l:25.398:1-l:25.398:1
36.5	58.5	1.05	0.004	10	4	111.8	111.0	239.0	5.8	TLN	T1LN2L4X0	t:1:2-l:25.398:5-l:25.398:1-l:25.398:1
31.5	54.5	1.05	0.004	12	4	117.8	117.0	277.0	6.8	TLN	T1LN2L4X0	t:1:4-l:25.398:5-l:25.398:1-l:25.398:1
26.5	52.5	1.05	0.004	34	4	188.7	188.0	700.0	9.7	TLN	T1LN2L4X0	t:1:25-l:25.398:6-l:25.398:1-l:25.398:1
26.8	52.8	1.05	0.004	27	4	167.7	167.0	567.0	9.2	TLN	T1LN2L4X0	t:1:18-l:25.398:6-l:25.398:1-l:25.398:1
27.4	52.4	1.05	0.004	21	4	149.7	149.0	453.0	8.6	TLN	T1LN2L4X0	t:1:12-l:25.398:6-l:25.398:1-l:25.398:1
29.1	53.1	1.05	0.004	15	4	131.7	131.0	339.0	7.6	TLN	T1LN2L4X0	t:1:6-l:25.398:6-l:25.398:1-l:25.398:1
35.9	57.9	1.05	0.004	11	4	119.7	119.0	263.0	6.0	TLN	T1LN2L4X0	t:1:2-l:25.398:6-l:25.398:1-l:25.398:1
30.8	53.8	1.05	0.004	13	4	125.7	125.0	301.0	7.0	TLN	T1LN2L4X0	t:1:4-l:25.398:6-l:25.398:1-l:25.398:1
26.0	52.0	1.05	0.004	35	4	196.7	196.0	724.0	9.9	TLN	T1LN2L4X0	t:1:25-l:25.398:7-l:25.398:1-l:25.398:1
26.3	52.3	1.05	0.004	28	4	175.7	175.0	591.0	9.4	TLN	T1LN2L4X0	t:1:18-l:25.398:7-l:25.398:1-l:25.398:1
26.9	51.9	1.05	0.004	22	4	157.7	157.0	477.0	8.8	TLN	T1LN2L4X0	t:1:12-l:25.398:7-l:25.398:1-l:25.398:1
28.6	52.6	1.05	0.004	16	4	139.7	139.0	363.0	7.8	TLN	T1LN2L4X0	t:1:6-l:25.398:7-l:25.398:1-l:25.398:1
35.4	57.4	1.05	0.004	12	4	127.7	127.0	287.0	6.3	TLN	T1LN2L4X0	t:1:2-l:25.398:7-l:25.398:1-l:25.398:1
30.3	53.3	1.05	0.004	14	4	133.7	133.0	325.0	7.3	TLN	T1LN2L4X0	t:1:4-l:25.398:7-l:25.398:1-l:25.398:1
25.7	51.7	1.05	0.004	36	4	204.6	204.0	748.0	10.1	TLN	T1LN2L4X0	t:1:25-l:25.398:8-l:25.398:1-l:25.398:1
26.0	52.0	1.05	0.004	29	4	183.6	183.0	615.0	9.6	TLN	T1LN2L4X0	t:1:18-l:25.398:8-l:25.398:1-l:25.398:1
26.6	51.6	1.05	0.004	23	4	165.6	165.0	501.0	9.0	TLN	T1LN2L4X0	t:1:12-l:25.398:8-l:25.398:1-l:25.398:1
28.2	52.2	1.05	0.004	17	4	147.6	147.0	387.0	8.0	TLN	T1LN2L4X0	t:1:6-l:25.398:8-l:25.398:1-l:25.398:1
35.0	57.0	1.05	0.004	13	4	135.6	135.0	311.0	6.5	TLN	T1LN2L4X0	t:1:2-l:25.398:8-l:25.398:1-l:25.398:1
29.9	52.9	1.05	0.004	15	4	141.6	141.0	349.0	7.5	TLN	T1LN2L4X0	t:1:4-l:25.398:8-l:25.398:1-l:25.398:1
23.1	48.1	1.08	0.005	31	4	170.4	169.0	633.0	9.1	TLN	T1LN3L4X0	t:1:25-l:25.398:2-l:25.398:2-l:25.398:1
23.4	48.4	1.08	0.005	24	4	149.5	148.0	500.0	8.6	TLN	T1LN3L4X0	t:1:18-l:25.398:2-l:25.398:2-l:25.398:1
24.0	48.0	1.08	0.005	18	4	131.5	130.0	386.0	8.0	TLN	T1LN3L4X0	t:1:12-l:25.398:2-l:25.398:2-l:25.398:1
25.7	48.7	1.08	0.005	12	4	113.5	112.0	272.0	7.0	TLN	T1LN3L4X0	t:1:6-l:25.398:2-l:25.398:2-l:25.398:1
32.5	53.5	1.08	0.005	8	4	101.5	100.0	196.0	5.5	TLN	T1LN3L4X0	t:1:2-l:25.398:2-l:25.398:2-l:25.398:1
27.4	49.4	1.08	0.005	10	4	107.5	106.0	234.0	6.5	TLN	T1LN3L4X0	t:1:4-l:25.398:2-l:25.398:2-l:25.398:1
16.4	43.4	1.12	0.005	33	4	191.4	190.0	686.0	10.3	TLN	T1LN3L4X0	t:1:25-l:25.398:3-l:25.398:3-l:25.398:1
16.7	43.7	1.12	0.005	26	4	170.4	169.0	553.0	9.8	TLN	T1LN3L4X0	t:1:18-l:25.398:3-l:25.398:3-l:25.398:1
17.2	43.2	1.12	0.005	20	4	152.4	151.0	439.0	9.2	TLN	T1LN3L4X0	t:1:12-l:25.398:3-l:25.398:3-l:25.398:1
18.9	43.9	1.12	0.005	14	4	134.4	133.0	325.0	8.2	TLN	T1LN3L4X0	t:1:6-l:25.398:3-l:25.398:3-l:25.398:1
25.7	48.7	1.12	0.005	10	4	122.4	121.0	249.0	6.6	TLN	T1LN3L4X0	t:1:2-l:25.398:3-l:25.398:3-l:25.398:1
20.6	44.6	1.12	0.005	12	4	128.4	127.0	287.0	7.6	TLN	T1LN3L4X0	t:1:4-l:25.398:3-l:25.398:3-l:25.398:1
13.0	40.0	1.17	0.006	35	4	211.8	211.0	739.0	11.1	TLN	T1LN3L4X0	t:1:25-l:25.398:4-l:25.398:4-l:25.398:1
13.3	40.3	1.16	0.006	28	4	190.8	190.0	606.0	10.6	TLN	T1LN3L4X0	t:1:18-l:25.398:4-l:25.398:4-l:25.398:1
13.9	39.9	1.16	0.006	22	4	172.9	172.0	492.0	10.0	TLN	T1LN3L4X0	t:1:12-l:25.398:4-l:25.398:4-l:25.398:1
15.5	40.5	1.16	0.006	16	4	154.9	154.0	378.0	9.0	TLN	T1LN3L4X0	t:1:6-l:25.398:4-l:25.398:4-l:25.398:1
22.3	45.3	1.16	0.006	12	4	142.9	142.0	302.0	7.5	TLN	T1LN3L4X0	t:1:2-l:25.398:4-l:25.398:4-l:25.398:1
17.2	41.2	1.16	0.006	14	4	148.9	148.0	340.0	8.4	TLN	T1LN3L4X0	t:1:4-l:25.398:4-l:25.398:4-l:25.398:1
10.9	39.9	1.21	0.006	37	4	231.7	232.0	792.0	11.7	TLN	T1LN3L4X0	t:1:25-l:25.398:5-l:25.398:5-l:25.398:1
11.3	40.3	1.21	0.006	30	4	210.7	211.0	659.0	11.3	TLN	T1LN3L4X0	t:1:18-l:25.398:5-l:25.398:5-l:25.398:1
11.8	39.8	1.21	0.006	24	4	192.8	193.0	545.0	10.7	TLN	T1LN3L4X0	t:1:12-l:25.398:5-l:25.398:5-l:25.398:1
13.5	40.5	1.20	0.006	18	4	174.8	175.0	431.0	9.7	TLN	T1LN3L4X0	t:1:6-l:25.398:5-l:25.398:5-l:25.398:1
20.3	45.3	1.20	0.006	14	4	162.8	163.0	355.0	8.1	TLN	T1LN3L4X0	t:1:2-l:25.398:5-l:25.398:5-l:25.398:1
15.2	41.2	1.20	0.006	16	4	168.8	169.0	393.0	9.1	TLN	T1LN3L4X0	t:1:4-l:25.398:5-l:25.398:5-l:25.398:1
9.6	38.6	1.25	0.007	39	4	251.1	253.0	845.0	12.3	TLN	T1LN3L4X0	t:1:25-l:25.398:6-l:25.398:6-l:25.398:1
9.9	38.9	1.25	0.007	32	4	230.1	232.0	712.0	11.8	TLN	T1LN3L4X0	t:1:18-l:25.398:6-l:25.398:6-l:25.398:1
10.5	38.5	1.25	0.007	26	4	212.1	214.0	598.0	11.2	TLN	T1LN3L4X0	t:1:12-l:25.398:6-l:25.398:6-l:25.398:1
12.2	39.2	1.25	0.007	20	4	194.1	196.0	484.0	10.2	TLN	T1LN3L4X0	t:1:6-l:25.398:6-l:25.398:6-l:25.398:1
18.9	43.9	1.25	0.007	16	4	182.1	184.0	408.0	8.6	TLN	T1LN3L4X0	t:1:2-l:25.398:6-l:25.398:6-l:25.398:1
13.9	39.9	1.25	0.007	18	4	188.1	190.0	446.0	9.6	TLN	T1LN3L4X0	t:1:4-l:25.398:6-l:25.398:6-l:25.398:1
8.6	37.6	1.29	0.007	41	4	270.0	274.0	898.0	12.7	TLN	T1LN3L4X0	t:1:25-l:25.398:7-l:25.398:7-l:25.398:1
8.9	37.9	1.29	0.007	34	4	249.0	253.0	765.0	12.2	TLN	T1LN3L4X0	t:1:18-l:25.398:7-l:25.398:7-l:25.398:1
9.5	37.5	1.29	0.007	28	4	231.0	235.0	651.0	11.6	TLN	T1LN3L4X0	t:1:12-l:25.398:7-l:25.398:7-l:25.398:1
11.2	38.2	1.29	0.007	22	4	213.0	217.0	537.0	10.6	TLN	T1LN3L4X0	t:1:6-l:25.398:7-l:25.398:7-l:25.398:1
18.0	43.0	1.29	0.007	18	4	201.0	205.0	461.0	9.1	TLN	T1LN3L4X0	t:1:2-l:25.398:7-l:25.398:7-l:25.398:1
12.9	38.9	1.29	0.007	20	4	207.0	211.0	499.0	10.1	TLN	T1LN3L4X0	t:1:4-l:25.398:7-l:25.398:7-l:25.398:1
7.9	36.9	1.33	0.008	43	4	288.3	295.0	951.0	13.1	TLN	T1LN3L4X0	t:1:25-l:25.398:8-l:25.398:8-l:25.398:1
8.2	37.2	1.33	0.008	36	4	267.3	274.0	818.0	12.6	TLN	T1LN3L4X0	t:1:18-l:25.398:8-l:25.398:8-l:25.398:1
8.8	36.8	1.33	0.008	30	4	249.3	256.0	704.0	12.0	TLN	T1LN3L4X0	t:1:12-l:25.398:8-l:25.398:8-l:25.398:1
10.5	37.5	1.33	0.008	24	4	231.3	238.0	590.0	11.0	TLN	T1LN3L4X0	t:1:6-l:25.398:8-l:25.398:8-l:25.398:1
17.2	42.2	1.33	0.008	20	4	219.3	226.0	514.0	9.4	TLN	T1LN3L4X0	t:1:2-l:25.398:8-l:25.398:8-l:25.398:1
12.2	38.2	1.33	0.008	22	4	225.3	232.0	552.0	10.4	TLN	T1LN3L4X0	t:1:4-l:25.398:8-l:25.398:8-l:25.398:1
28.6	52.6	1.07	0.004	30	4	157.2	156.0	604.0	8.1	TLN	T1LN2L4X1	t:1:25-l:32.000:2-l:32.000:1-l:16.000:1
29.0	53.0	1.07	0.004	23	4	136.2	135.0	471.0	7.6	TLN	T1LN2L4X1	t:1:18-l:32.000:2-l:32.000:1-l:16.000:1
29.7	52.7	1.07	0.004	17	4	118.2	117.0	357.0	7.0	TLN	T1LN2L4X1	t:1:12-l:32.000:2-l:32.000:1-l:16.000:1
31.9	53.9	1.07	0.004	11	4	100.2	99.0	243.0	6.0	TLN	T1LN2L4X1	t:1:6-l:32.000:2-l:32.000:1-l:16.000:1
40.4	60.4	1.07	0.004	7	4	88.2	87.0	167.0	4.5	TLN	T1LN2L4X1	t:1:2-l:32.000:2-l:32.000:1-l:16.000:1
34.0	55.0	1.07	0.004	9	4	94.2	93.0	205.0	5.5	TLN	T1LN2L4X1	t:1:4-l:32.000:2-l:32.000:1-l:16.000:1
22.7	47.7	1.09	0.005	31	4	169.5	168.0	632.0	8.7	TLN	T1LN2L4X1	t:1:25-l:36.630:3-l:36.630:1-l:12.210:1
23.2	48.2	1.09	0.005	24	4	148.6	147.0	499.0	8.2	TLN	T1LN2L4X1	t:1:18-l:36.630:3-l:36.630:1-l:12.210:1
24.0	48.0	1.09	0.005	18	4	130.6	129.0	385.0	7.6	TLN	T1LN2L4X1	t:1:12-l:36.630:3-l:36.630:1-l:12.210:1
26.4	49.4	1.09	0.005	12	4	112.6	111.0	271.0	6.6	TLN	T1LN2L4X1	t:1:6-l:36.630:3-l:36.630:1-l:12.210:1
36.2	57.2	1.09	0.005	8	4	100.6	99.0	195.0	5.0	TLN	T1LN2L4X1	t:1:2-l:36.630:3-l:36.630:1-l:12.210:1
28.9	50.9	1.09	0.005	10	4	106.6	105.0	233.0	6.0	TLN	T1LN2L4X1	t:1:4-l:36.630:3-l:36.630:1-l:12.210:1
19.4	44.4	1.11	0.005	32	4	178.8	177.0	657.0	9.1	TLN	T1LN2L4X1	t:1:25-l:40.316:4-l:40.316:1-l:10.079:1
19.9	44.9	1.11	0.005	25	4	157.9	156.0	524.0	8.6	TLN	T1LN2L4X1	t:1:18-l:40.316:4-l:40.316:1-l:10.079:1
20.8	44.8	1.11	0.005	19	4	139.9	138.0	410.0	8.0	TLN	T1LN2L4X1	t:1:12-l:40.316:4-l:40.316:1-l:10.079:1
23.5	46.5	1.11	0.005	13	4	121.9	120.0	296.0	7.0	TLN	T1LN2L4X1	t:1:6-l:40.316:4-l:40.316:1-l:10.079:1
34.3	55.3	1.11	0.005	9	4	109.9	108.0	220.0	5.5	TLN	T1LN2L4X1	t:1:2-l:40.316:4-l:40.316:1-l:10.079:1
26.2	48.2	1.11	0.005	11	4	115.9	114.0	258.0	6.5	TLN	T1LN2L4X1	t:1:4-l:40.316:4-l:40.316:1-l:10.079:1
17.3	43.3	1.13	0.005	33	4	188.1	186.0	682.0	9.4	TLN	T1LN2L4X1	t:1:25-l:43.430:5-l:43.430:1-l:8.686:1
17.8	43.8	1.13	0.005	26	4	167.1	165.0	549.0	8.9	TLN	T1LN2L4X1	t:1:18-l:43.430:5-l:43.430:1-l:8.686:1
18.8	43.8	1.13	0.005	20	4	149.1	147.0	435.0	8.4	TLN	T1LN2L4X1	t:1:12-l:43.430:5-l:43.430:1-l:8.686:1
21.7	45.7	1.13	0.005	14	4	131.1	129.0	321.0	7.4	TLN	T1LN2L4X1	t:1:6-l:43.430:5-l:43.430:1-l:8.686:1
33.3	55.3	1.13	0.005	10	4	119.1	117.0	245.0	5.8	TLN	T1LN2L4X1	t:1:2-l:43.430:5-l:43.430:1-l:8.686:1
24.6	47.6	1.13	0.005	12	4	125.1	123.0	283.0	6.8	TLN	T1LN2L4X1	t:1:4-l:43.430:5-l:43.430:1-l:8.686:1
15.8	41.8	1.15	0.005	34	4	198.3	196.0	708.0	9.7	TLN	T1LN2L4X1	t:1:25-l:46.152:6-l:46.152:1-l:7.692:1
16.4	42.4	1.15	0.005	27	4	177.3	175.0	575.0	9.2	TLN	T1LN2L4X1	t:1:18-l:46.152:6-l:46.152:1-l:7.692:1
17.4	42.4	1.15	0.005	21	4	159.3	157.0	461.0	8.6	TLN	T1LN2L4X1	t:1:12-l:46.152:6-l:46.152:1-l:7.692:1
20.5	44.5	1.15	0.005	15	4	141.3	139.0	347.0	7.6	TLN	T1LN2L4X1	t:1:6-l:46.152:6-l:46.152:1-l:7.692:1
32.8	54.8	1.15	0.005	11	4	129.3	127.0	271.0	6.0	TLN	T1LN2L4X1	t:1:2-l:46.152:6-l:46.152:1-l:7.692:1
23.5	46.5	1.15	0.005	13	4	135.3	133.0	309.0	7.0	TLN	T1LN2L4X1	t:1:4-l:46.152:6-l:46.152:1-l:7.692:1
14.7	40.7	1.17	0.006	35	4	207.5	205.0	733.0	9.9	TLN	T1LN2L4X1	t:1:25-l:48.587:7-l:48.587:1-l:6.941:1
15.3	41.3	1.17	0.006	28	4	186.5	184.0	600.0	9.4	TLN	T1LN2L4X1	t:1:18-l:48.587:7-l:48.587:1-l:6.941:1
16.3	41.3	1.17	0.006	22	4	168.5	166.0	486.0	8.8	TLN	T1LN2L4X1	t:1:12-l:48.587:7-l:48.587:1-l:6.941:1
19.6	43.6	1.17	0.006	16	4	150.5	148.0	372.0	7.8	TLN	T1LN2L4X1	t:1:6-l:48.587:7-l:48.587:1-l:6.941:1
32.5	54.5	1.16	0.006	12	4	138.5	136.0	296.0	6.3	TLN	T1LN2L4X1	t:1:2-l:48.587:7-l:48.587:1-l:6.941:1
22.8	45.8	1.17	0.006	14	4	144.5	142.0	334.0	7.3	TLN	T1LN2L4X1	t:1:4-l:48.587:7-l:48.587:1-l:6.941:1
13.8	39.8	1.18	0.006	36	4	216.6	214.0	758.0	10.1	TLN	T1LN2L4X1	t:1:25-l:50.800:8-l:50.800:1-l:6.350:1
14.4	40.4	1.18	0.006	29	4	195.6	193.0	625.0	9.6	TLN	T1LN2L4X1	t:1:18-l:50.800:8-l:50.800:1-l:6.350:1
15.5	40.5	1.18	0.006	23	4	177.6	175.0	511.0	9.0	TLN	T1LN2L4X1	t:1:12-l:50.800:8-l:50.800:1-l:6.350:1
18.9	42.9	1.18	0.006	17	4	159.6	157.0	397.0	8.0	TLN	T1LN2L4X1	t:1:6-l:50.800:8-l:50.800:1-l:6.350:1
32.5	54.5	1.18	0.006	13	4	147.6	145.0	321.0	6.5	TLN	T1LN2L4X1	t:1:2-l:50.800:8-l:50.800:1-l:6.350:1
22.3	45.3	1.18	0.006	15	4	153.6	151.0	359.0	7.5	TLN	T1LN2L4X1	t:1:4-l:50.800:8-l:50.800:1-l:6.350:1
23.1	48.1	1.08	0.005	31	4	170.4	169.0	633.0	9.1	TLN	T1LN3L4X1	t:1:25-l:25.398:2-l:25.398:2-l:25.398:1
23.4	48.4	1.08	0.005	24	4	149.5	148.0	500.0	8.6	TLN	T1LN3L4X1	t:1:18-l:25.398:2-l:25.398:2-l:25.398:1
24.0	48.0	1.08	0.005	18	4	131.5	130.0	386.0	8.0	TLN	T1LN3L4X1	t:1:12-l:25.398:2-l:25.398:2-l:25.398:1
25.7	48.7	1.08	0.005	12	4	113.5	112.0	272.0	7.0	TLN	T1LN3L4X1	t:1:6-l:25.398:2-l:25.398:2-l:25.398:1
32.5	53.5	1.08	0.005	8	4	101.5	100.0	196.0	5.5	TLN	T1LN3L4X1	t:1:2-l:25.398:2-l:25.398:2-l:25.398:1
27.4	49.4	1.08	0.005	10	4	107.5	106.0	234.0	6.5	TLN	T1LN3L4X1	t:1:4-l:25.398:2-l:25.398:2-l:25.398:1
16.4	43.4	1.12	0.005	33	4	191.4	190.0	686.0	10.3	TLN	T1LN3L4X1	t:1:25-l:25.398:3-l:25.398:3-l:25.398:1
16.7	43.7	1.12	0.005	26	4	170.4	169.0	553.0	9.8	TLN	T1LN3L4X1	t:1:18-l:25.398:3-l:25.398:3-l:25.398:1
17.2	43.2	1.12	0.005	20	4	152.4	151.0	439.0	9.2	TLN	T1LN3L4X1	t:1:12-l:25.398:3-l:25.398:3-l:25.398:1
18.9	43.9	1.12	0.005	14	4	134.4	133.0	325.0	8.2	TLN	T1LN3L4X1	t:1:6-l:25.398:3-l:25.398:3-l:25.398:1
25.7	48.7	1.12	0.005	10	4	122.4	121.0	249.0	6.6	TLN	T1LN3L4X1	t:1:2-l:25.398:3-l:25.398:3-l:25.398:1
20.6	44.6	1.12	0.005	12	4	128.4	127.0	287.0	7.6	TLN	T1LN3L4X1	t:1:4-l:25.398:3-l:25.398:3-l:25.398:1
13.0	40.0	1.17	0.006	35	4	211.8	211.0	739.0	11.1	TLN	T1LN3L4X1	t:1:25-l:25.400:4-l:25.400:4-l:25.400:1
13.3	40.3	1.16	0.006	28	4	190.8	190.0	606.0	10.6	TLN	T1LN3L4X1	t:1:18-l:25.400:4-l:25.400:4-l:25.400:1
13.9	39.9	1.16	0.006	22	4	172.9	172.0	492.0	10.0	TLN	T1LN3L4X1	t:1:12-l:25.400:4-l:25.400:4-l:25.400:1
15.5	40.5	1.16	0.006	16	4	154.9	154.0	378.0	9.0	TLN	T1LN3L4X1	t:1:6-l:25.400:4-l:25.400:4-l:25.400:1
22.3	45.3	1.16	0.006	12	4	142.9	142.0	302.0	7.5	TLN	T1LN3L4X1	t:1:2-l:25.400:4-l:25.400:4-l:25.400:1
17.2	41.2	1.16	0.006	14	4	148.9	148.0	340.0	8.4	TLN	T1LN3L4X1	t:1:4-l:25.400:4-l:25.400:4-l:25.400:1
10.9	39.9	1.21	0.006	37	4	231.7	232.0	792.0	11.7	TLN	T1LN3L4X1	t:1:25-l:25.400:5-l:25.400:5-l:25.400:1
11.3	40.3	1.21	0.006	30	4	210.7	211.0	659.0	11.3	TLN	T1LN3L4X1	t:1:18-l:25.400:5-l:25.400:5-l:25.400:1
11.8	39.8	1.21	0.006	24	4	192.8	193.0	545.0	10.7	TLN	T1LN3L4X1	t:1:12-l:25.400:5-l:25.400:5-l:25.400:1
13.5	40.5	1.21	0.006	18	4	174.8	175.0	431.0	9.7	TLN	T1LN3L4X1	t:1:6-l:25.400:5-l:25.400:5-l:25.400:1
20.3	45.3	1.20	0.006	14	4	162.8	163.0	355.0	8.1	TLN	T1LN3L4X1	t:1:2-l:25.400:5-l:25.400:5-l:25.400:1
15.2	41.2	1.20	0.006	16	4	168.8	169.0	393.0	9.1	TLN	T1LN3L4X1	t:1:4-l:25.400:5-l:25.400:5-l:25.400:1
9.6	38.6	1.25	0.007	39	4	251.1	253.0	845.0	12.3	TLN	T1LN3L4X1	t:1:25-l:25.398:6-l:25.398:6-l:25.398:1
