Relative to: x.fbmy8032_rel_o2nofp_end_241023_ba9709c9_971.ia1_c24r64.pk1
col-1 : x.fbmy8032_rel_o2nofp_end_241023_ba9709c9_971.ia1_100_c24r64.pk1
col-2 : x.fbmy8032_rel_o2nofp_end_241023_ba9709c9_971.ia1_1000_c24r64.pk1
col-3 : x.fbmy8032_rel_o2nofp_241023_ba9709c9_971_bug1481_statinc.ia1_c24r64.pk1
col-4 : x.fbmy8032_rel_o2nofp_241023_ba9709c9_971_bug1482_opttime.ia1_c24r64.pk1
col-5 : x.fbmy8032_rel_o2nofp_241023_ba9709c9_971_bug1506_innoacl.ia1_c24r64.pk1
col-6 : x.fbmy8032_rel_o2nofp_241023_ba9709c9_971_bug1481_1482_1506.ia1_c24r64.pk1
col-7 : x.fbmy8032_rel_o2nofp_241023_ba9709c9_971_bug1481_1482_1506.ia1_100_c24r64.pk1
col-8 : x.fbmy8032_rel_o2nofp_241023_ba9709c9_971_bug1481_1482_1506.ia1_1000_c24r64.pk1

col-1	col-2	col-3	col-4	col-5	col-6	col-7	col-8
1.04	1.04	1.02	1.03	1.05	1.06	1.06	1.06	hot-points_range=100
1.08	1.03	1.04	1.08	0.95	1.12	1.12	1.13	point-query_range=100
1.09	1.06	1.05	1.06	1.04	1.14	1.05	1.08	points-covered-pk_range=100
1.06	0.99	0.94	1.03	1.08	1.10	1.09	1.04	points-covered-si_range=100
1.10	1.08	1.02	1.11	1.03	1.15	1.09	1.09	points-notcovered-pk_range=100
1.04	1.01	0.99	1.00	1.10	1.13	1.07	1.04	points-notcovered-si_range=100
1.09	1.06	1.04	1.11	1.03	1.15	1.10	1.06	random-points_range=1000
1.03	1.04	1.05	1.02	1.07	1.08	1.06	1.06	random-points_range=100
1.02	0.92	0.96	1.03	1.01	0.98	1.04	1.03	random-points_range=10
1.07	1.04	1.08	1.07	1.13	1.16	1.17	1.17	range-covered-pk_range=100
1.08	1.03	1.04	1.07	1.15	1.19	1.20	1.19	range-covered-si_range=100
1.04	1.03	0.98	1.03	1.02	1.05	1.12	1.12	range-notcovered-pk_range=100
1.02	1.00	1.02	1.06	1.04	1.01	1.03	1.03	range-notcovered-si_range=100
1.05	1.04	1.06	1.03	1.10	1.15	1.18	1.17	read-only_range=10000
1.06	1.06	1.07	1.04	1.02	1.12	1.12	1.12	read-only_range=100
1.05	1.06	1.06	1.07	1.06	1.06	1.09	1.10	read-only_range=10
1.03	1.03	1.05	1.01	1.23	1.31	1.34	1.35	scan_range=100
1.01	1.03	1.01	1.00	1.02	1.03	1.06	1.02	delete_range=100
1.01	0.99	1.01	0.98	0.99	1.02	1.00	0.99	insert_range=100
1.03	1.02	1.03	1.04	1.03	1.02	1.06	1.07	read-write_range=100
1.02	1.01	1.02	1.01	1.01	1.03	1.06	1.05	read-write_range=10
1.00	1.00	1.00	1.00	0.99	1.00	1.01	1.00	update-index_range=100
1.02	1.03	1.03	1.01	1.04	1.02	1.06	1.04	update-inlist_range=100
1.00	0.99	1.00	1.00	0.99	1.01	1.02	1.00	update-nonindex_range=100
0.99	0.99	0.99	0.99	0.98	0.98	1.01	1.00	update-one_range=100
1.00	0.97	0.99	1.01	1.00	1.01	1.04	1.03	update-zipf_range=100
1.01	0.99	1.00	1.00	0.99	1.00	1.01	1.02	write-only_range=10000
