406400,6042.5,0.0,1,fsync=0_16K
403200,6012.0,0.0,1,fsync=0_16K
13696,209.3,2100.5,32,fsync=1_16K
13688,209.0,2100.5,32,fsync=1_16K
406400,6073.0,0.0,1,fdatasync=0_16K
406400,6073.0,0.0,1,fdatasync=0_16K
3047,46.7,5450.3,32,fdatasync=1_16K
2990,45.9,5561.8,32,fdatasync=1_16K
3245,6215.1,0.0,1,fsync=0_2M
3243,6216.0,0.0,1,fsync=0_2M
967,1886.5,6372.0,32,fsync=1_2M
608,1180.9,11228.0,32,fsync=1_2M
741,1445.0,0.0,1,fdatasync=0_2M
313,635.8,0.0,1,fdatasync=0_2M
213,442.0,22306.5,32,fdatasync=1_2M
230,464.2,707830.0,32,fdatasync=1_2M
