col-1 : x.pg1023_o2nofp.x10a_c32r128.pk1
col-2 : x.pg110_o2nofp.x10a_c32r128.pk1
col-3 : x.pg1110_o2nofp.x10a_c32r128.pk1

col-1	col-2	col-3
42714	45187	45972	hot-points_range=100
280444	294002	293087	point-query_range=100
24342	25559	25520	points-covered-pk_range=100
23684	24937	24897	points-covered-si_range=100
19083	20065	19962	points-notcovered-pk_range=100
18725	19685	19558	points-notcovered-si_range=100
2193	2274	2283	random-points_range=1000
19310	20256	20220	random-points_range=100
122895	130116	129419	random-points_range=10
112685	123534	122872	range-covered-pk_range=100
105161	116492	115726	range-covered-si_range=100
65018	68275	68279	range-notcovered-pk_range=100
43344	44503	44544	range-notcovered-si_range=100
28242	28682	28596	read-only_range=1000
144601	149797	149169	read-only_range=100
232703	242096	240818	read-only_range=10
1224	1456	1435	read-only_range=16000
14204	14360	14351	read-only_range=2000
666	738	730	read-only_range=32000
6915	6978	6973	read-only_range=4000
3333	3360	3356	read-only_range=8000
24800	25000	24800	scan_range=100
260504	272961	269860	delete_range=100
150739	161329	160239	insert_range=100
149525	155215	154693	read-write_range=100
216213	226647	225316	read-write_range=10
137471	143828	141192	update-index_range=100
49896	57017	56864	update-inlist_range=100
163856	173454	171132	update-nonindex_range=100
80986	84241	82328	update-one_range=100
168753	174691	171299	update-zipf_range=100
236030	246704	244326	write-only_range=10000
