test,6.29.5,7.0.4,7.10.2,8.0.0,8.4.4,8.8.1,8.11.4,9.0.1,9.4.1,9.8.4,9.11.2,10.0.1,10.1.3,10.2.3,10.3.4,10.4.2,10.5.5,10.6.2,10.7.6,10.8.3,
fillseq.wal_disabled.v400,1.00,1.00,0.99,1.00,0.99,0.99,0.99,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.99,1.00,1.00,1.00
revrangewhilewriting.t1,1.00,1.00,1.10,1.10,1.09,1.05,1.03,1.03,1.06,1.05,1.05,1.05,1.05,1.09,1.08,1.08,1.05,1.06,1.07,1.08
fwdrangewhilewriting.t1,1.00,0.99,1.11,1.11,1.13,1.06,1.06,1.07,1.06,1.06,1.06,1.06,1.11,1.10,1.10,1.10,1.07,1.06,1.05,1.07
readwhilewriting.t1,1.00,0.99,1.17,1.17,1.20,1.17,1.16,1.17,1.17,1.16,1.14,1.17,1.18,1.22,1.19,1.18,1.15,1.15,1.16,1.14
overwriteandwait.t1.s0,1.00,0.97,0.94,0.93,0.92,0.95,0.94,0.95,0.91,0.92,1.00,1.01,1.00,1.00,0.99,1.00,1.00,1.00,1.01,1.01
