Relative to: x.ma100309_rel_withdbg.z12a_c32r128.pk1
col-1 : x.ma100339_rel_withdbg.z12a_c32r128.pk1

col-1
0.94	hot-points_range=100
1.00	point-query_range=100
0.97	points-covered-pk_range=100
2.21	points-covered-si_range=100
0.98	points-notcovered-pk_range=100
1.60	points-notcovered-si_range=100
0.95	random-points_range=1000
0.98	random-points_range=100
0.98	random-points_range=10
0.99	range-covered-pk_range=100
1.01	range-covered-si_range=100
0.98	range-notcovered-pk_range=100
0.95	range-notcovered-si_range=100
0.96	read-only-count_range=1000
0.99	read-only-distinct_range=1000
0.99	read-only-order_range=1000
0.99	read-only_range=10000
0.99	read-only_range=100
0.98	read-only_range=10
0.98	read-only-simple_range=1000
0.98	read-only-sum_range=1000
0.94	scan_range=100
0.95	scan.warm_range=100
1.19	delete_range=100
1.13	insert_range=100
0.98	read-write_range=100
0.99	read-write_range=10
1.15	update-index_range=100
1.04	update-inlist_range=100
1.12	update-nonindex_range=100
1.11	update-one_range=100
1.11	update-zipf_range=100
1.06	write-only_range=10000
