col-1 : x.ma100230_rel_withdbg.z12a_c32r128.pk1
col-2 : x.ma100244_rel_withdbg.z12a_c32r128.pk1

col-1	col-2
78413	77693	hot-points_range=100
895647	902931	point-query_range=100
72785	70188	points-covered-pk_range=100
71088	68557	points-covered-si_range=100
70894	68214	points-notcovered-pk_range=100
41268	38939	points-notcovered-si_range=100
7404	7172	random-points_range=1000
71157	68704	random-points_range=100
427722	419786	random-points_range=10
478870	474371	range-covered-pk_range=100
486910	480142	range-covered-si_range=100
448295	438664	range-notcovered-pk_range=100
75524	70508	range-notcovered-si_range=100
151144	143681	read-only-count_range=1000
322661	321189	read-only-distinct_range=1000
436619	435093	read-only-order_range=1000
16289	16209	read-only_range=10000
654440	656082	read-only_range=100
808601	813926	read-only_range=10
555294	549432	read-only-simple_range=1000
656492	656367	read-only-sum_range=1000
5019	4844	scan_range=100
5107	4825	scan.warm_range=100
169380	146152	delete_range=100
121721	111608	insert_range=100
534824	524624	read-write_range=100
602045	593350	read-write_range=10
94391	85144	update-index_range=100
45938	46380	update-inlist_range=100
103128	94500	update-nonindex_range=100
65566	62230	update-one_range=100
102873	94587	update-zipf_range=100
311277	294070	write-only_range=10000
