Relative to: x.ma100230_rel_withdbg.z12a_c32r128.pk1
col-1 : x.ma100244_rel_withdbg.z12a_c32r128.pk1

col-1
0.99	hot-points_range=100
1.01	point-query_range=100
0.96	points-covered-pk_range=100
0.96	points-covered-si_range=100
0.96	points-notcovered-pk_range=100
0.94	points-notcovered-si_range=100
0.97	random-points_range=1000
0.97	random-points_range=100
0.98	random-points_range=10
0.99	range-covered-pk_range=100
0.99	range-covered-si_range=100
0.98	range-notcovered-pk_range=100
0.93	range-notcovered-si_range=100
0.95	read-only-count_range=1000
1.00	read-only-distinct_range=1000
1.00	read-only-order_range=1000
1.00	read-only_range=10000
1.00	read-only_range=100
1.01	read-only_range=10
0.99	read-only-simple_range=1000
1.00	read-only-sum_range=1000
0.97	scan_range=100
0.94	scan.warm_range=100
0.86	delete_range=100
0.92	insert_range=100
0.98	read-write_range=100
0.99	read-write_range=10
0.90	update-index_range=100
1.01	update-inlist_range=100
0.92	update-nonindex_range=100
0.95	update-one_range=100
0.92	update-zipf_range=100
0.94	write-only_range=10000
