col-1 : x.ma100506_rel_withdbg.z12a_c32r128.pk1
col-2 : x.ma100529_rel_withdbg.z12a_c32r128.pk1

col-1	col-2
60694	53993	hot-points_range=100
817592	822679	point-query_range=100
42087	29832	points-covered-pk_range=100
54530	50787	points-covered-si_range=100
41589	29541	points-notcovered-pk_range=100
25172	20377	points-notcovered-si_range=100
4193	2977	random-points_range=1000
41610	29533	random-points_range=100
331560	292839	random-points_range=10
427580	418220	range-covered-pk_range=100
426025	415850	range-covered-si_range=100
398282	394755	range-notcovered-pk_range=100
38747	27719	range-notcovered-si_range=100
125921	122043	read-only-count_range=1000
317103	309433	read-only-distinct_range=1000
419532	408147	read-only-order_range=1000
20757	20130	read-only_range=10000
600374	589951	read-only_range=100
720784	717261	read-only_range=10
519437	523025	read-only-simple_range=1000
621030	616357	read-only-sum_range=1000
3833	3896	scan_range=100
3946	3898	scan.warm_range=100
220898	207626	delete_range=100
115695	106068	insert_range=100
483791	483846	read-write_range=100
549082	530818	read-write_range=10
83451	40305	update-index_range=100
37273	27712	update-inlist_range=100
116890	108680	update-nonindex_range=100
72935	70435	update-one_range=100
117193	109731	update-zipf_range=100
304248	201997	write-only_range=10000
