col-1 : x.pg1322_o2nofp.x10a_c32r128.pk1
col-2 : x.pg1323_o2nofp.x10a_c32r128.pk1

col-1	col-2
115532	111619	hot-points_range=100
1005557	971887	point-query_range=100
88764	89578	points-covered-pk_range=100
88873	88540	points-covered-si_range=100
70342	70834	points-notcovered-pk_range=100
69460	69120	points-notcovered-si_range=100
7758	7838	random-points_range=1000
71196	71649	random-points_range=100
461905	458071	random-points_range=10
402725	402018	range-covered-pk_range=100
400604	399841	range-covered-si_range=100
190032	186798	range-notcovered-pk_range=100
161958	157703	range-notcovered-si_range=100
30709	31779	read-only-count_range=1000
168626	169777	read-only-distinct_range=1000
172512	173153	read-only-order_range=1000
6993	6966	read-only_range=10000
467044	459553	read-only_range=100
837188	813759	read-only_range=10
245137	243363	read-only-simple_range=1000
303298	309637	read-only-sum_range=1000
2437	2414	scan_range=100
2418	2426	scan.warm_range=100
686247	671287	delete_range=100
337719	332805	insert_range=100
471962	468122	read-write_range=100
691288	687766	read-write_range=10
193826	189445	update-index_range=100
109935	109325	update-inlist_range=100
232843	231897	update-nonindex_range=100
65664	69731	update-one_range=100
283030	287060	update-zipf_range=100
493038	461329	write-only_range=10000
