Relative to: x.pg180_o2nofp.x10b_c32r128.pk1
col-1 : x.pg181_o2nofp.x10b_c32r128.pk1

col-1
0.96	hot-points_range=100
0.97	point-query_range=100
1.00	points-covered-pk_range=100
0.98	points-covered-si_range=100
1.00	points-notcovered-pk_range=100
0.99	points-notcovered-si_range=100
1.00	random-points_range=1000
0.99	random-points_range=100
0.98	random-points_range=10
0.98	range-covered-pk_range=100
0.98	range-covered-si_range=100
0.98	range-notcovered-pk_range=100
0.99	range-notcovered-si_range=100
1.02	read-only-count_range=1000
0.99	read-only-distinct_range=1000
0.99	read-only-order_range=1000
0.99	read-only_range=10000
0.98	read-only_range=100
0.98	read-only_range=10
0.98	read-only-simple_range=1000
1.00	read-only-sum_range=1000
0.99	scan_range=100
0.99	scan.warm_range=100
0.99	delete_range=100
0.97	insert_range=100
0.99	read-write_range=100
0.97	read-write_range=10
0.94	update-index_range=100
0.99	update-inlist_range=100
0.97	update-nonindex_range=100
0.89	update-one_range=100
0.97	update-zipf_range=100
0.97	write-only_range=10000
