hot-points_range=100,1.01
point-query_range=100,0.94
points-covered-pk_range=100,0.99
points-covered-si_range=100,1.00
points-notcovered-pk_range=100,0.99
points-notcovered-si_range=100,1.00
random-points_range=1000,0.99
random-points_range=100,0.99
random-points_range=10,0.97
range-covered-pk_range=100,0.98
range-covered-si_range=100,0.98
range-notcovered-pk_range=100,1.00
range-notcovered-si_range=100,1.03
read-only-count_range=1000,1.00
read-only-distinct_range=1000,0.99
read-only-order_range=1000,1.00
read-only_range=10000,1.00
read-only_range=100,0.98
read-only_range=10,0.95
read-only-simple_range=1000,1.00
read-only-sum_range=1000,0.99
scan_range=100,0.90
scan.warm_range=100,0.90
delete_range=100,0.98
insert_range=100,0.96
read-write_range=100,0.98
read-write_range=10,0.97
update-index_range=100,0.99
update-inlist_range=100,0.98
update-nonindex_range=100,1.01
update-one_range=100,1.04
update-zipf_range=100,0.99
write-only_range=10000,0.98
