Relative to: x.my8028_rel_o2nofp.z12a_c8r32.pk1
col-1 : x.my8030_rel_o2nofp.z12a_c8r32.pk1
col-2 : x.my8031_rel_o2nofp.z12a_c8r32.pk1
col-3 : x.my8032_rel_o2nofp.z12a_c8r32.pk1
col-4 : x.my8033_rel_o2nofp.z12a_c8r32.pk1
col-5 : x.my8034_rel_o2nofp.z12a_c8r32.pk1
col-6 : x.my8035_rel_o2nofp.z12a_c8r32.pk1
col-7 : x.my8036_rel_o2nofp.z12a_c8r32.pk1
col-8 : x.my8045_rel_o2nofp.z12a_c8r32.pk1

col-1	col-2	col-3	col-4	col-5	col-6	col-7	col-8
0.92	1.14	1.14	1.12	1.17	1.16	1.16	1.16	hot-points_range=100
0.97	0.97	0.95	0.96	0.95	0.95	0.95	0.95	point-query_range=100
0.94	1.09	1.09	1.08	1.12	1.12	1.11	1.15	points-covered-pk_range=100
0.90	1.08	1.07	1.07	1.12	1.13	1.12	1.16	points-covered-si_range=100
0.91	1.04	1.04	1.03	1.07	1.07	1.06	1.11	points-notcovered-pk_range=100
0.88	0.96	0.96	0.95	1.00	1.01	1.00	1.06	points-notcovered-si_range=100
0.79	2.35	2.42	2.37	2.45	2.45	2.47	2.56	random-points_range=1000
0.94	1.07	1.06	1.06	1.09	1.08	1.10	1.12	random-points_range=100
0.93	0.94	0.93	0.93	0.94	0.94	0.93	0.95	random-points_range=10
0.95	0.94	0.92	0.92	0.92	0.93	0.93	0.96	range-covered-pk_range=100
0.96	0.96	0.94	0.93	0.93	0.94	0.93	0.95	range-covered-si_range=100
0.94	0.94	0.93	0.93	0.94	0.94	0.93	0.93	range-notcovered-pk_range=100
0.89	0.87	0.87	0.86	0.89	0.91	0.89	0.95	range-notcovered-si_range=100
0.95	0.94	0.87	0.87	0.88	0.87	0.89	0.91	read-only-count_range=1000
0.97	0.96	0.94	0.95	0.96	0.95	0.95	0.96	read-only-distinct_range=1000
0.97	0.96	0.93	0.95	0.95	0.94	0.95	0.95	read-only-order_range=1000
0.96	0.95	0.93	0.94	0.95	0.95	0.96	0.98	read-only_range=10000
0.96	0.96	0.94	0.95	0.95	0.94	0.95	0.94	read-only_range=100
0.96	0.97	0.95	0.95	0.95	0.94	0.95	0.94	read-only_range=10
0.94	0.94	0.92	0.93	0.93	0.93	0.94	0.94	read-only-simple_range=1000
0.94	0.94	0.89	0.91	0.92	0.90	0.93	0.91	read-only-sum_range=1000
0.93	0.92	0.79	0.82	0.83	0.77	0.82	0.80	scan_range=100
0.92	0.91	0.78	0.81	0.82	0.77	0.81	0.80	scan.warm_range=100
0.96	0.95	0.92	0.92	0.92	0.91	0.91	0.91	delete_range=100
0.94	0.93	0.91	0.91	0.91	0.90	0.90	0.90	insert_range=100
0.96	0.96	0.94	0.94	0.94	0.94	0.94	0.93	read-write_range=100
0.96	0.96	0.94	0.94	0.94	0.94	0.94	0.93	read-write_range=10
0.91	0.91	0.84	0.84	0.86	0.85	0.86	0.79	update-index_range=100
0.94	0.95	0.92	0.91	0.92	0.91	0.91	0.91	update-inlist_range=100
0.95	0.96	0.92	0.92	0.92	0.91	0.91	0.90	update-nonindex_range=100
0.96	0.96	0.93	0.92	0.92	0.91	0.92	0.91	update-one_range=100
0.96	0.96	0.92	0.92	0.92	0.91	0.91	0.90	update-zipf_range=100
0.94	0.94	0.91	0.91	0.91	0.91	0.91	0.89	write-only_range=10000
