fillseq.wal_disabled.v400,0.69,0.89,0.68,0.72,0.71,0.70,0.46,0.46,0.46,0.42,0.49,0.62,0.76,0.75,0.78,0.77,0.77,0.78,0.77
readrandom.t8,1.00,0.97,0.98,1.00,1.00,0.99,0.99,0.99,0.98,0.98,0.99,0.98,0.97,0.97,0.95,0.95,0.93,0.96,0.96
fwdrange.t8,1.00,0.97,0.98,1.03,1.02,1.01,1.01,1.00,1.00,1.00,1.00,1.02,1.02,1.00,1.00,0.98,0.95,1.00,1.01
multireadrandom.t8,1.02,1.00,1.00,1.02,1.02,1.01,1.01,1.01,1.01,1.01,1.01,1.00,0.99,0.99,0.98,0.97,0.96,1.00,1.00
revrangewhilewriting.t8,1.03,0.92,0.98,0.97,0.93,0.91,0.91,0.96,0.95,0.97,0.95,0.94,0.93,0.93,0.93,0.94,0.88,0.95,0.92
fwdrangewhilewriting.t8,1.04,0.89,0.90,0.94,0.92,0.93,0.92,0.91,0.91,0.92,0.91,0.89,0.89,0.89,0.89,0.91,0.87,0.91,0.91
readwhilewriting.t8,0.99,0.96,0.99,1.00,0.98,0.98,0.97,0.98,0.97,0.97,0.97,0.97,0.96,0.96,0.95,0.94,0.94,0.98,0.95
overwriteandwait.t8.s0,0.78,1.02,0.93,0.96,0.87,0.91,1.06,1.23,1.10,1.22,1.02,1.15,1.16,1.17,1.16,1.17,0.64,1.14,1.13
