fillseq.wal_disabled.v400,1.01,1.01,1.01,1.01,1.02,1.00,0.99,1.02,1.01,1.01
readrandom.t8,1.00,0.99,0.99,1.02,1.02,1.04,1.04,1.05,1.04,1.07
fwdrange.t8,1.01,0.99,1.00,0.99,1.06,1.07,1.08,1.00,0.99,1.04
multireadrandom.t8,1.00,0.98,1.02,1.01,1.02,1.02,1.02,1.02,1.04,1.06
revrangewhilewriting.t8,1.00,1.00,0.99,1.01,1.02,1.03,1.01,0.94,0.94,0.95
fwdrangewhilewriting.t8,1.00,1.00,1.00,1.02,0.95,0.96,0.95,0.94,0.94,0.97
readwhilewriting.t8,1.00,0.99,0.99,1.02,1.03,1.05,1.04,1.03,1.01,1.04
overwriteandwait.t8.s0,1.00,0.99,0.98,0.98,1.01,1.01,1.00,1.01,0.98,0.99
