fillseq.wal_disabled.v400,0.84,0.87,0.52,0.53,0.58,0.54,0.67,0.81,0.84,0.86,0.87,0.86,0.86,0.86,0.86
readrandom.t8,1.03,1.02,1.01,1.01,1.01,1.01,1.01,0.97,0.99,0.98,0.98,0.97,0.97,0.97,0.99
fwdrange.t8,1.03,1.04,1.03,1.02,1.01,1.03,1.02,1.01,0.97,1.01,0.99,0.99,0.99,1.01,1.01
multireadrandom.t8,0.99,1.02,1.01,1.01,0.99,1.01,1.01,0.99,0.95,0.98,0.97,0.97,0.97,0.97,0.99
revrangewhilewriting.t8,0.97,0.96,1.00,1.01,1.00,1.04,1.02,0.97,0.98,0.98,0.99,0.98,0.97,0.98,0.99
fwdrangewhilewriting.t8,1.00,1.00,0.98,0.98,0.99,1.01,1.00,0.94,0.97,0.99,0.98,0.98,0.97,1.00,0.99
readwhilewriting.t8,0.96,0.97,0.96,0.96,0.98,0.98,0.98,0.96,0.95,0.96,0.96,0.96,0.95,0.98,0.97
overwriteandwait.t8.s0,0.77,0.72,1.07,1.02,0.91,1.00,1.05,1.07,1.20,1.20,1.20,1.23,0.24,1.17,1.17
