fillseq.wal_disabled.v400,0.98,0.98,0.92,1.01,1.00,0.97,0.95,0.96,0.89,0.94,0.97,0.95,0.97,0.93,0.90,0.91,0.73,0.86
readrandom.t8,1.03,1.03,1.03,1.04,1.04,1.03,1.03,1.04,1.04,1.01,1.02,1.03,1.02,1.03,1.00,1.02,1.04,1.01
fwdrange.t8,1.06,1.10,1.08,1.02,1.08,1.07,1.03,1.08,1.08,1.08,1.04,1.13,1.12,1.14,1.04,1.11,1.13,1.09
multireadrandom.t8,1.01,1.03,1.03,1.03,1.03,1.03,1.02,1.02,1.03,1.02,1.01,1.01,1.01,1.01,0.99,1.01,1.01,1.00
revrangewhilewriting.t8,1.01,1.02,0.26,1.01,0.98,0.97,0.97,0.97,0.99,0.99,0.99,1.01,1.02,1.04,1.02,1.01,1.02,0.99
fwdrangewhilewriting.t8,1.02,1.01,0.25,1.01,0.97,0.97,0.97,0.98,0.98,1.01,0.99,1.03,1.02,1.03,1.02,1.01,1.01,0.99
readwhilewriting.t8,1.05,1.05,0.52,1.08,1.05,1.05,1.05,1.04,1.04,1.02,1.03,1.03,1.03,1.03,1.00,1.02,1.03,1.01
overwrite.t8.s0,1.00,1.00,1.00,1.10,1.11,1.10,1.21,1.24,1.23,1.24,1.26,1.26,1.24,1.24,1.23,1.25,1.26,1.05
