Relative to: x.pg172_o2nofp.x10a_c32r128.pk1
col-1 : x.pg_oriole_patches17_5_o2nofp.x10a_oriole_c32r128.pk1

col-1
0.54	hot-points_range=100
0.87	point-query.pre_range=100
0.86	point-query_range=100
1.29	points-covered-pk.pre_range=100
1.34	points-covered-pk_range=100
0.00	points-covered-si.pre_range=100
0.00	points-covered-si_range=100
1.37	points-notcovered-pk.pre_range=100
1.40	points-notcovered-pk_range=100
0.00	points-notcovered-si.pre_range=100
0.00	points-notcovered-si_range=100
1.27	random-points.pre_range=1000
1.37	random-points.pre_range=100
1.06	random-points.pre_range=10
1.30	random-points_range=1000
1.40	random-points_range=100
1.06	random-points_range=10
0.67	range-covered-pk.pre_range=100
0.78	range-covered-pk_range=100
0.00	range-covered-si.pre_range=100
0.00	range-covered-si_range=100
0.59	range-notcovered-pk.pre_range=100
0.90	range-notcovered-pk_range=100
0.01	range-notcovered-si.pre_range=100
0.01	range-notcovered-si_range=100
0.78	read-only.pre_range=10000
0.79	read-only.pre_range=100
0.86	read-only.pre_range=10
1.21	read-only_range=10000
0.95	read-only_range=100
0.89	read-only_range=10
0.98	scan_range=100
0.82	delete_range=100
0.94	insert_range=100
0.29	read-write_range=100
0.67	read-write_range=10
0.99	update-index_range=100
1.13	update-inlist_range=100
0.87	update-nonindex_range=100
1.79	update-one_range=100
0.91	update-zipf_range=100
0.85	write-only_range=10000
