col-1 : x.pg172_o2nofp.x10a_c32r128.pk1
col-2 : x.pg_oriole_patches17_5_o2nofp.x10a_oriole_c32r128.pk1

col-1	col-2
125509	68048	hot-points_range=100
411027	355663	point-query.pre_range=100
410870	354685	point-query_range=100
46110	59640	points-covered-pk.pre_range=100
44499	59655	points-covered-pk_range=100
44402	3	points-covered-si.pre_range=100
44156	3	points-covered-si_range=100
36552	50215	points-notcovered-pk.pre_range=100
35705	50041	points-notcovered-pk_range=100
35113	3	points-notcovered-si.pre_range=100
34531	3	points-notcovered-si_range=100
4322	5483	random-points.pre_range=1000
37186	50932	random-points.pre_range=100
201454	212676	random-points.pre_range=10
4211	5468	random-points_range=1000
36250	50899	random-points_range=100
199580	212545	random-points_range=10
276661	184193	range-covered-pk.pre_range=100
236165	183526	range-covered-pk_range=100
229330	915	range-covered-si.pre_range=100
225906	909	range-covered-si_range=100
195108	114348	range-notcovered-pk.pre_range=100
126197	113198	range-notcovered-pk_range=100
90851	917	range-notcovered-si.pre_range=100
87854	908	range-notcovered-si_range=100
8277	6430	read-only.pre_range=10000
308574	243584	read-only.pre_range=100
400488	345745	read-only.pre_range=10
5322	6432	read-only_range=10000
254343	241639	read-only_range=100
390213	346452	read-only_range=10
0.447	0.440	scan_range=100
399498	327068	delete_range=100
323226	304962	insert_range=100
253009	74400	read-write_range=100
352769	236003	read-write_range=10
227875	226194	update-index_range=100
94318	106816	update-inlist_range=100
257576	224373	update-nonindex_range=100
105202	188814	update-one_range=100
258153	233985	update-zipf_range=100
360928	308561	write-only_range=10000
