col-1 : x.pg172_o2nofp.x10a_c32r128.pk1
col-2 : x.pg_oriole_patches17_5_o2nofp.x10a_oriole_c32r128.pk1

col-1	col-2
11637	2294	hot-points_range=100
33534	31327	point-query.pre_range=100
33375	31242	point-query_range=100
2807	2061	points-covered-pk.pre_range=100
2760	2134	points-covered-pk_range=100
2807	1948	points-covered-si.pre_range=100
2821	1949	points-covered-si_range=100
2170	1865	points-notcovered-pk.pre_range=100
2133	1830	points-notcovered-pk_range=100
2171	1306	points-notcovered-si.pre_range=100
2130	1270	points-notcovered-si_range=100
244	203	random-points.pre_range=1000
2197	1890	random-points.pre_range=100
14346	12640	random-points.pre_range=10
242	200	random-points_range=1000
2157	1862	random-points_range=100
14241	12532	random-points_range=10
15395	8724	range-covered-pk.pre_range=100
14882	8724	range-covered-pk_range=100
13597	46	range-covered-si.pre_range=100
13465	46	range-covered-si_range=100
10652	5432	range-notcovered-pk.pre_range=100
8954	5199	range-notcovered-pk_range=100
4887	46	range-notcovered-si.pre_range=100
4744	46	range-notcovered-si_range=100
420	299	read-only.pre_range=10000
19408	14259	read-only.pre_range=100
27141	23454	read-only.pre_range=10
358	288	read-only_range=10000
17839	13839	read-only_range=100
26763	23348	read-only_range=10
0.452	0.438	scan_range=100
30268	25758	delete_range=100
20196	18761	insert_range=100
18117	15046	read-write_range=100
25236	21980	read-write_range=10
21490	21498	update-index_range=100
7869	8138	update-inlist_range=100
25121	23275	update-nonindex_range=100
29508	24982	update-one_range=100
24930	22159	update-zipf_range=100
29085	28274	write-only_range=10000
