col-1 : x.pg172_o2nofp.x10a_c32r128.pk1
col-2 : x.pg_oriole_patches17_5_o2nofp.x10a_oriole_c32r128.pk1

col-1	col-2
66240	34007	hot-points_range=100
205090	177742	point-query.pre_range=100
202840	177910	point-query_range=100
23613	30067	points-covered-pk.pre_range=100
23040	30070	points-covered-pk_range=100
22986	2	points-covered-si.pre_range=100
22902	2	points-covered-si_range=100
18817	25301	points-notcovered-pk.pre_range=100
18492	25278	points-notcovered-pk_range=100
18054	2	points-notcovered-si.pre_range=100
17782	2	points-notcovered-si_range=100
2244	2795	random-points.pre_range=1000
19125	25736	random-points.pre_range=100
101087	108755	random-points.pre_range=10
2184	2802	random-points_range=1000
18674	25746	random-points_range=100
99641	108864	random-points_range=10
138299	91455	range-covered-pk.pre_range=100
124340	91399	range-covered-pk_range=100
117988	462	range-covered-si.pre_range=100
117440	458	range-covered-si_range=100
98758	56962	range-notcovered-pk.pre_range=100
71901	56451	range-notcovered-pk_range=100
46327	462	range-notcovered-si.pre_range=100
44858	457	range-notcovered-si_range=100
4151	3244	read-only.pre_range=10000
155265	122653	read-only.pre_range=100
200397	175539	read-only.pre_range=10
2999	3230	read-only_range=10000
135410	121951	read-only_range=100
197310	175290	read-only_range=10
0.451	0.438	scan_range=100
186458	153041	delete_range=100
178309	155670	insert_range=100
133364	91404	read-write_range=100
177767	156619	read-write_range=10
121488	105982	update-index_range=100
53263	61012	update-inlist_range=100
131325	119156	update-nonindex_range=100
83990	112850	update-one_range=100
132713	120793	update-zipf_range=100
186787	175243	write-only_range=10000
