col-1 : x.my5651_rel_o2nofp.z12a_c8r32.pk1
col-2 : x.my5744_rel_o2nofp.z12a_c8r32.pk1
col-3 : x.my8043_rel_o2nofp.z12a_c8r32.pk1
col-4 : x.my8406_rel_o2nofp.z12a_c8r32.pk1
col-5 : x.my9400_rel_o2nofp.z12a_c8r32.pk1

col-1	col-2	col-3	col-4	col-5
4527	3926	2979	2964	2944	hot-points_range=100
24605	21381	16756	16389	15950	point-query_range=100
2751	2419	2013	2001	1985	points-covered-pk_range=100
2798	2519	2238	2199	2205	points-covered-si_range=100
2601	2299	1921	1912	1901	points-notcovered-pk_range=100
1579	1411	1222	1213	1215	points-notcovered-si_range=100
257	256	221	220	217	random-points_range=1000
2622	2334	1940	1925	1905	random-points_range=100
12586	11029	8674	8653	8510	random-points_range=10
12881	10713	8783	8874	8745	range-covered-pk_range=100
13635	11481	9551	9656	9532	range-covered-si_range=100
11608	9943	7884	7904	7707	range-notcovered-pk_range=100
3008	2672	2226	2251	2241	range-notcovered-si_range=100
4488	3793	3113	3111	3140	read-only-count_range=1000
5827	8273	7313	7226	7331	read-only-distinct_range=1000
12816	11749	9735	9648	9689	read-only-order_range=1000
469	577	473	475	483	read-only_range=10000
16699	15599	12867	12723	12628	read-only_range=100
22460	19267	15619	15375	15229	read-only_range=10
16952	14250	11564	11548	11476	read-only-simple_range=1000
19401	16139	13246	13003	13021	read-only-sum_range=1000
6564	5656	4509	4485	4517	scan_range=100
6573	5650	4499	4348	4530	scan.warm_range=100
13972	11613	8450	8226	8186	delete_range=100
14665	12039	8274	8038	8188	insert_range=100
15692	14647	11775	11612	11535	read-write_range=100
19678	17099	13524	13316	13186	read-write_range=10
3875	4543	3365	3359	3360	update-index_range=100
5865	6133	4362	4305	4292	update-inlist_range=100
12865	10899	7866	7648	7589	update-nonindex_range=100
13044	11163	8062	7849	7783	update-one_range=100
12692	10917	7893	7706	7634	update-zipf_range=100
17150	15829	11889	11734	11820	write-only_range=10000
