8.11.4	9.0.1	9.1.2	9.2.2	9.3.2	9.4.1	9.5.2	9.6.2	9.7.4	9.8.4	9.9.3	9.10.0	9.11.2	10.0.1	10.1.3	10.2.1	test
1.00	0.98	0.97	1.01	0.99	0.97	0.99	0.98	0.98	1.01	0.98	0.95	0.97	0.93	0.98	0.98	fillseq.wal_disabled.v400
1.00	1.00	0.99	1.00	0.98	1.00	0.95	1.00	1.00	1.00	0.98	0.89	0.89	0.87	0.90	0.88	revrangewhilewriting.t1
1.00	1.00	1.00	0.99	1.01	1.01	1.00	1.00	0.98	1.00	1.01	0.89	0.90	0.89	0.90	0.90	fwdrangewhilewriting.t1
1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.01	1.00	1.00	0.89	0.89	0.89	0.89	0.89	readwhilewriting.t1
1.00	0.99	0.99	1.01	1.00	1.00	1.00	1.00	1.01	1.00	1.35	1.40	1.40	1.40	1.38	1.40	overwriteandwait.t1.s0
