6.29.5	7.10.2	8.11.4	9.0.1	9.5.2	9.11.2	10.0.1	10.1.3	10.2.1	test
1.00	0.98	1.02	1.01	1.02	1.00	1.01	0.99	1.01	fillseq.wal_disabled.v400
1.00	1.12	1.10	1.13	1.11	1.12	1.09	1.00	1.00	revrangewhilewriting.t1
1.00	1.15	1.16	1.16	1.16	1.16	1.16	1.04	1.04	fwdrangewhilewriting.t1
1.00	1.11	1.11	1.11	1.12	1.11	1.12	0.99	1.00	readwhilewriting.t1
1.00	1.02	0.64	0.64	0.64	0.89	0.88	0.89	0.89	overwriteandwait.t1.s0
