test,6.29.5,7.10.2,8.11.4,9.0.1,9.1.2,9.2.2,9.3.2,9.4.1,9.5.2,9.6.2,9.7.4,9.8.4,9.9.3,9.10.0,9.11.2,10.0.1,10.1.3,10.2.1,
fillseq.wal_disabled.v400,1.00,1.49,1.50,1.39,1.48,1.52,1.51,1.52,1.50,1.50,1.52,1.50,1.49,1.49,1.47,1.50,1.47,1.38
revrangewhilewriting.t16,1.00,0.92,0.90,0.94,0.88,0.88,0.86,0.91,0.88,0.92,0.93,0.87,0.91,0.88,0.89,0.91,0.87,0.93
fwdrangewhilewriting.t16,1.00,0.98,0.95,0.95,0.93,0.95,0.96,0.95,0.95,0.95,1.00,0.95,0.96,0.97,0.97,0.95,0.97,0.96
readwhilewriting.t16,1.00,1.00,1.01,0.97,1.02,1.01,1.01,1.01,1.02,1.01,1.02,1.01,1.01,1.01,1.01,1.02,1.02,1.01
overwriteandwait.t16.s0,1.00,1.15,0.88,0.91,0.89,0.90,0.90,0.89,0.90,0.88,0.91,0.90,1.18,1.18,1.18,1.18,1.17,1.17
