Relative to: x.my5651_rel_o2nofp.z11a_c32r128.pk1
col-1 : x.my5744_rel_o2nofp.z11a_c32r128.pk1
col-2 : x.my8028_rel_o2nofp.z11a_c32r128.pk1
col-3 : x.my8032_rel_o2nofp.z11a_c32r128.pk1
col-4 : x.my8039_rel_o2nofp.z11a_c32r128.pk1
col-5 : x.my8041_rel_o2nofp.z11a_c32r128.pk1

col-1	col-2	col-3	col-4	col-5
1.22	0.88	0.86	0.92	0.93	hot-points_range=100
0.96	0.84	0.79	0.78	0.80	point-query_range=100
1.00	0.77	0.76	0.80	0.81	points-covered-pk_range=100
0.87	0.73	0.70	0.76	0.76	points-covered-si_range=100
1.00	0.77	0.75	0.80	0.81	points-notcovered-pk_range=100
0.86	0.73	0.68	0.73	0.74	points-notcovered-si_range=100
1.13	0.46	0.87	0.93	0.94	random-points_range=1000
1.01	0.78	0.76	0.81	0.82	random-points_range=100
0.93	0.79	0.71	0.74	0.74	random-points_range=10
0.89	0.77	0.70	0.69	0.72	range-covered-pk_range=100
0.89	0.80	0.72	0.72	0.76	range-covered-si_range=100
0.88	0.75	0.69	0.68	0.69	range-notcovered-pk_range=100
0.82	0.74	0.64	0.69	0.70	range-notcovered-si_range=100
1.29	1.06	1.01	1.02	1.04	read-only_range=10000
1.12	0.99	0.92	0.91	0.93	read-only_range=100
1.02	0.90	0.83	0.83	0.85	read-only_range=10
0.90	0.87	0.72	0.71	0.73	scan_range=100
0.90	0.84	0.78	0.78	0.78	delete_range=100
0.91	0.81	0.75	0.75	0.74	insert_range=100
1.05	0.93	0.86	0.86	0.87	read-write_range=100
0.99	0.85	0.79	0.79	0.80	read-write_range=10
2.26	2.55	2.06	2.07	2.08	update-index_range=100
1.11	1.09	1.03	1.06	1.06	update-inlist_range=100
0.82	0.75	0.73	0.73	0.72	update-nonindex_range=100
0.92	0.85	0.80	0.79	0.80	update-one_range=100
0.81	0.74	0.71	0.71	0.71	update-zipf_range=100
1.13	1.00	0.90	0.90	0.90	write-only_range=10000
