9.8.4	9.9.3	9.10.0	9.11.2	10.0.1	10.1.3	10.2.3	10.3.4	10.4.2	10.5.5	10.6.2	10.7.6	10.8.3	10.9.1	10.10.0	test
1.00	1.02	1.00	0.96	0.97	0.94	1.00	1.00	1.03	1.01	0.66	1.06	1.10	1.08	1.08	fillseq.wal_disabled.v400
1.00	1.01	0.96	0.91	0.90	1.00	1.00	0.99	1.00	0.99	0.99	1.00	0.99	0.99	0.97	revrangewhilewriting.t1
1.00	1.00	0.97	0.91	0.90	1.00	1.00	1.00	1.00	0.99	1.00	1.00	0.98	1.00	0.97	fwdrangewhilewriting.t1
1.00	1.01	0.98	0.92	0.91	1.01	1.01	1.01	1.00	1.01	1.01	1.00	0.99	1.01	0.97	readwhilewriting.t1
1.00	1.38	1.45	1.39	1.41	1.39	1.40	1.39	1.41	1.40	1.23	1.68	1.42	1.47	1.42	overwriteandwait.t1.s0
