Relative to: x.my5651_rel_o2nofp.z11a_c32r128.pk1
col-1 : x.my5744_rel_o2nofp.z11a_c32r128.pk1
col-2 : x.my8028_rel_o2nofp.z11a_c32r128.pk1
col-3 : x.my8032_rel_o2nofp.z11a_c32r128.pk1
col-4 : x.my8039_rel_o2nofp.z11a_c32r128.pk1
col-5 : x.my8041_rel_o2nofp.z11a_c32r128.pk1

col-1	col-2	col-3	col-4	col-5
2.42	1.78	1.65	1.75	1.77	hot-points_range=100
1.04	0.92	0.85	0.84	0.85	point-query_range=100
1.94	1.52	1.45	1.54	1.56	points-covered-pk_range=100
0.86	0.71	0.67	0.73	0.74	points-covered-si_range=100
1.90	1.49	1.42	1.51	1.53	points-notcovered-pk_range=100
0.84	0.73	0.66	0.71	0.72	points-notcovered-si_range=100
2.04	0.90	1.56	1.65	1.68	random-points_range=1000
1.89	1.48	1.42	1.51	1.53	random-points_range=100
1.24	1.05	0.95	0.97	0.99	random-points_range=10
0.89	0.77	0.70	0.69	0.73	range-covered-pk_range=100
0.90	0.80	0.74	0.72	0.76	range-covered-si_range=100
0.89	0.75	0.69	0.68	0.70	range-notcovered-pk_range=100
0.82	0.74	0.62	0.67	0.68	range-notcovered-si_range=100
1.17	1.13	1.07	1.08	1.11	read-only_range=10000
1.25	1.10	1.02	1.01	1.03	read-only_range=100
1.18	1.02	0.95	0.94	0.96	read-only_range=10
0.88	0.92	0.72	0.71	0.74	scan_range=100
1.63	1.95	1.78	1.79	1.78	delete_range=100
1.59	1.58	1.46	1.46	1.46	insert_range=100
1.22	1.04	0.97	0.97	0.98	read-write_range=100
1.25	1.04	0.97	0.97	0.98	read-write_range=10
5.45	6.12	3.06	2.93	6.07	update-index_range=100
1.48	1.54	1.61	1.56	1.51	update-inlist_range=100
1.50	1.43	1.37	1.32	1.29	update-nonindex_range=100
1.07	1.12	1.06	1.06	1.05	update-one_range=100
1.29	1.24	1.18	1.14	1.11	update-zipf_range=100
1.39	1.36	1.26	1.26	1.28	write-only_range=10000
