Relative to: x.my5651_rel_o2nofp.z11a_c32r128.pk1
col-1 : x.my5744_rel_o2nofp.z11a_c32r128.pk1
col-2 : x.my8028_rel_o2nofp.z11a_c32r128.pk1
col-3 : x.my8032_rel_o2nofp.z11a_c32r128.pk1
col-4 : x.my8039_rel_o2nofp.z11a_c32r128.pk1
col-5 : x.my8041_rel_o2nofp.z11a_c32r128.pk1

col-1	col-2	col-3	col-4	col-5
1.72	1.25	1.20	1.27	1.32	hot-points_range=100
0.95	0.85	0.81	0.81	0.82	point-query_range=100
1.26	0.98	0.95	1.02	1.03	points-covered-pk_range=100
0.88	0.72	0.70	0.75	0.77	points-covered-si_range=100
1.23	0.96	0.93	0.99	1.01	points-notcovered-pk_range=100
0.86	0.73	0.67	0.72	0.74	points-notcovered-si_range=100
1.37	0.56	1.05	1.12	1.14	random-points_range=1000
1.24	0.97	0.93	1.00	1.02	random-points_range=100
0.97	0.84	0.76	0.78	0.80	random-points_range=10
0.87	0.76	0.71	0.71	0.73	range-covered-pk_range=100
0.88	0.79	0.74	0.73	0.76	range-covered-si_range=100
0.86	0.74	0.69	0.69	0.70	range-notcovered-pk_range=100
0.81	0.74	0.62	0.68	0.69	range-notcovered-si_range=100
1.30	1.09	1.04	1.05	1.07	read-only_range=10000
1.15	1.02	0.96	0.97	0.98	read-only_range=100
1.06	0.94	0.89	0.88	0.91	read-only_range=10
0.90	0.90	0.74	0.71	0.74	scan_range=100
1.02	0.99	0.90	0.92	0.94	delete_range=100
1.15	0.98	0.91	0.93	0.94	insert_range=100
1.12	0.99	0.92	0.93	0.94	read-write_range=100
1.11	0.97	0.90	0.91	0.92	read-write_range=10
2.73	3.30	2.43	2.48	2.87	update-index_range=100
1.32	1.26	1.17	1.23	1.23	update-inlist_range=100
0.91	0.80	0.75	0.76	0.77	update-nonindex_range=100
0.95	0.94	0.87	0.87	0.89	update-one_range=100
0.96	0.85	0.80	0.81	0.82	update-zipf_range=100
1.26	1.15	1.06	1.05	1.06	write-only_range=10000
