69400,1035.7,0.0,1,fsync=0_16K
69200,1030.0,0.0,1,fsync=0_16K
46300,689.5,13.3,2,fsync=1_16K
46100,687.6,13.3,2,fsync=1_16K
68300,1018.5,0.0,1,fdatasync=0_16K
69200,1031.9,0.0,1,fdatasync=0_16K
50600,753.4,10.2,2,fdatasync=1_16K
50400,751.5,10.3,2,fdatasync=1_16K
2290,4367.8,0.0,1,fsync=0_2M
2324,4434.6,0.0,1,fsync=0_2M
1570,2998.4,97.8,2,fsync=1_2M
1478,2822.9,101.9,2,fsync=1_2M
2350,4482.3,0.0,1,fdatasync=0_2M
2361,4504.2,0.0,1,fdatasync=0_2M
2370,4524.2,10.8,2,fdatasync=1_2M
2344,4472.7,21.9,2,fdatasync=1_2M
