cost	wa-I	wa-C	sa	ca	Nruns	Nlvls	ph	pm	rs	rn	isdom	F	L	C
155.6	61.9	79.9	1.06	0.004	5	4	92.0	91.0	139.0	2.5	False	L	L4	l:19.027:1-l:19.027:1-l:19.027:1-l:19.027:1
178.9	43.2	61.2	1.1	0.005	6	5	104.9	103.0	167.0	2.5	False	L	L5	l:10.556:1-l:10.556:1-l:10.556:1-l:10.556:1-l:10.556:1
183.5	52.2	71.2	1.07	0.004	6	4	98.2	97.0	161.0	3.5	False	LN	LNA1L4	l:16.000:2-l:32.000:1-l:16.000:1-l:16.000:1
185.5	54.3	73.3	1.06	0.004	6	4	100.0	99.0	163.0	3.5	False	LN	LNC1L4	l:19.027:2-l:19.027:1-l:19.027:1-l:19.027:1
195.2	77.8	97.8	1.03	0.004	6	3	99.6	99.0	163.0	4.3	False	LN	LNA2L3	l:32.000:2-l:64.000:2-l:64.000:1
---
177.9	103.6	122.6	1.02	0.004	6	4	85.4	85.0	149.0	3.5	False	TL	T1L4	t:1:2-l:50.797:1-l:50.797:1-l:50.797:1
