cost	wa-I	wa-C	sa	ca	Nruns	Nlvls	ph	pm	rs	rn	isdom	F	L	C
92.0	61.9	79.9	1.06	0.004	5	4	92.0	91.0	139.0	2.5	False	L	L4	l:19.027:1-l:19.027:1-l:19.027:1-l:19.027:1
94.6	78.8	98.8	1.03	0.004	7	4	94.6	94.0	174.0	4.5	False	TLN	T1LN2L4X1	t:1:2-l:64.000:2-l:64.000:1-l:32.000:1
98.0	55.3	74.3	1.06	0.004	7	5	98.0	97.0	177.0	3.5	False	TL	T1L5	t:1:2-l:19.027:1-l:19.027:1-l:19.027:1-l:19.027:1
98.2	52.2	71.2	1.07	0.004	6	4	98.2	97.0	161.0	3.5	False	LN	LNA1L4	l:16.000:2-l:32.000:1-l:16.000:1-l:16.000:1
99.6	77.8	97.8	1.03	0.004	6	3	99.6	99.0	163.0	4.3	False	LN	LNA2L3	l:32.000:2-l:64.000:2-l:64.000:1
---
85.4	103.6	122.6	1.02	0.004	6	4	85.4	85.0	149.0	3.5	False	TL	T1L4	t:1:2-l:50.797:1-l:50.797:1-l:50.797:1
