cost	wa-I	wa-C	sa	ca	Nruns	Nlvls	ph	pm	rs	rn	isdom	F	L	C
99.5	29.5	49.5	1.16	0.006	9	6	132.9	130.0	242.0	4.5	False	LN	LNC2L6	l:7.127:2-l:7.127:2-l:7.127:1-l:7.127:1-l:7.127:1-l:7.127:1
101.6	28.0	50.0	1.17	0.006	11	6	136.0	133.0	277.0	6.1	False	TLN	T1RLN3L6X1	t:1:3-l:13.928:2-l:13.928:2-l:13.928:1-l:6.964:1-l:6.964:1
101.6	28.9	49.9	1.17	0.006	9	5	136.0	133.0	245.0	5.5	False	LN	LNA3L5	l:6.964:2-l:13.928:2-l:13.928:2-l:13.928:1-l:6.964:1
101.8	29.2	49.2	1.21	0.006	10	7	136.9	133.0	261.0	4.5	False	TLN	T1RLN2L7X1	t:1:2-l:11.314:2-l:11.314:1-l:5.657:1-l:5.657:1-l:5.657:1-l:5.657:1
101.9	30.0	49.0	1.23	0.006	10	8	137.1	133.0	261.0	3.5	False	TL	T1L8	t:1:2-l:5.384:1-l:5.384:1-l:5.384:1-l:5.384:1-l:5.384:1-l:5.384:1-l:5.384:1
---
88.5	55.3	74.3	1.06	0.004	7	5	98.0	97.0	177.0	3.5	False	TL	T1L5	t:1:2-l:19.027:1-l:19.027:1-l:19.027:1-l:19.027:1
