cost	wa-I	wa-C	sa	ca	Nruns	Nlvls	ph	pm	rs	rn	isdom	F	L	C
30.0	9.0	30.0	1.18	0.006	112	4	778.7	787.0	2547.0	16.8	False	TL	T3L4	t:1:51-t:51:51-t:51:8-l:50.393:1
31.2	6.2	31.2	1.25	0.007	454	3	2092.8	2221.0	9453.0	17.3	False	TL	T2L3	t:1:362-t:362:90-l:362.077:1
31.6	12.6	31.6	1.16	0.006	61	5	521.3	524.0	1468.0	16.2	False	TL	T4L5	t:1:19-t:19:19-t:19:19-t:19:2-l:19.109:1
31.7	10.7	31.7	1.14	0.005	110	4	751.5	757.0	2485.0	16.4	False	TL	T3L4	t:1:51-t:51:51-t:51:6-l:50.393:1
32.2	6.2	32.2	1.25	0.007	364	3	2347.1	2589.0	8381.0	17.3	False	TL	T2RL3	t:1:181-t:181:181-l:724.155:1
---
40.5	11.5	40.5	1.42	0.009	26	6	271.6	271.0	655.0	13.5	False	TLN	T1LN5L6X0	t:1:8-l:10.556:4-l:10.556:4-l:10.556:4-l:10.556:4-l:10.556:1
