59559,888.1,0.0,1,fsync=0_16K
40972,610.4,0.0,1,fsync=0_16K
2657,41.0,9880.5,32,fsync=1_16K
4352,66.6,5883.4,32,fsync=1_16K
219273,3265.4,0.0,1,fdatasync=0_16K
202216,3013.1,0.0,1,fdatasync=0_16K
1053,16.2,18126.6,32,fdatasync=1_16K
1313,20.4,14377.9,32,fdatasync=1_16K
392,785.4,0.0,1,fsync=0_2M
393,789.1,0.0,1,fsync=0_2M
192,395.4,83247.5,32,fsync=1_2M
192,394.7,81338.1,32,fsync=1_2M
414,826.9,0.0,1,fdatasync=0_2M
571,1120.0,0.0,1,fdatasync=0_2M
288,582.2,52681.6,32,fdatasync=1_2M
287,569.4,1728650.0,32,fdatasync=1_2M
