10.2.1	10.2.1	test
1.00	0.99	fillseq.wal_disabled.v400
1.00	0.96	revrangewhilewriting.t24
1.00	0.98	fwdrangewhilewriting.t24
1.00	1.01	readwhilewriting.t24
1.00	0.99	overwriteandwait.t24.s0
