col-1 : x.fbmy8032_rel_o2nofp_end_241023_ba9709c9_971.za4_glibcmalloc_c32r128.pk1
col-2 : x.fbmy8032_rel_o2nofp_end_241023_ba9709c9_971.za4_tcmalloc_c32r128.pk1
col-3 : x.fbmy8032_rel_o2nofp_end_241023_ba9709c9_971.za4_jemalloc_c32r128.pk1

col-1	col-2	col-3
15713	10662	15692	hot-points_range=100
278635	290948	291001	point-query_range=100
9113	9888	9978	points-covered-pk_range=100
21384	21482	23282	points-covered-si_range=100
9053	9848	9909	points-notcovered-pk_range=100
6058	6686	6779	points-notcovered-si_range=100
931	1005	1001	random-points_range=1000
9065	9841	9916	random-points_range=100
75022	78419	82456	random-points_range=10
133583	132454	143460	range-covered-pk_range=100
210466	211952	216446	range-covered-si_range=100
123995	129707	134815	range-notcovered-pk_range=100
8694	9587	9513	range-notcovered-si_range=100
34704	37226	36558	read-only-count_range=1000
51328	51501	51548	read-only-distinct_range=1000
172271	168868	179966	read-only-order_range=1000
5271	5421	5441	read-only_range=10000
141029	134853	145880	read-only_range=100
176618	179737	184466	read-only_range=10
186585	183092	199378	read-only-simple_range=1000
208624	222424	227440	read-only-sum_range=1000
89000	90500	90500	scan_range=100
44861	47056	46138	delete_range=100
49643	55122	53222	insert_range=100
139589	133517	135140	read-write_range=100
166281	156759	158537	read-write_range=10
44515	47876	46380	update-index_range=100
17974	19433	19236	update-inlist_range=100
49177	53371	51269	update-nonindex_range=100
16036	16730	16663	update-one_range=100
50490	54185	52762	update-zipf_range=100
143853	147804	146191	write-only_range=10000
